;dada2_input;filtered;dada_Fw;dada_Rv;merged;nonchim;final_perc_reads_retained
"C1_2017.04";96038;72255;71848;71630;67589;55733;58
"C1_2018.02";87144;74187;73386;72982;69291;58993;67,7
"C1_2018.04";73976;62715;61634;61522;55601;41815;56,5
"C2_2017.04";70701;60886;60672;60664;58373;49057;69,4
"C2_2018.02";79975;68570;67760;67237;63789;53393;66,8
"C2_2018.04";83499;72248;71331;71258;66637;52706;63,1
"C3_2017.04";86841;74576;74290;73994;72377;60654;69,8
"C3_2018.02";93980;78446;77803;77476;75241;65149;69,3
"C3_2018.04";85108;66919;65709;65059;57753;45043;52,9
"C4_2017.04";80543;69367;68912;68884;65812;54769;68
"C4_2018.02";75556;64124;63418;63185;60806;52514;69,5
"C4_2018.04";74706;62961;61841;61828;56664;47292;63,3
"F1_2017.04";73542;62660;61911;61758;56559;45136;61,4
"F1_2018.02";71859;62469;61824;61672;58010;48940;68,1
"F1_2018.04";86165;74382;73506;73427;68773;53664;62,3
"F2_2017.04";75502;61626;60779;60662;55694;46398;61,5
"F2_2018.02";81498;70015;69158;69014;65659;55634;68,3
"F2_2018.04";89908;75147;74111;73680;68962;53454;59,5
"F3_2017.04";76898;61971;61366;61420;57220;47579;61,9
"F3_2018.02";87351;74531;73790;73303;68320;58570;67,1
"F3_2018.04";89056;76005;75263;75075;70689;57078;64,1
"F4_2017.04";73032;61478;61125;60829;57375;45813;62,7
"F4_2018.02";90657;77815;76942;76317;70952;60820;67,1
"F4_2018.04";91630;78149;77087;76716;70372;52184;57
"H1_2017.04";85435;73368;72327;72224;67090;55546;65
"H1_2018.02";89990;75384;74447;74383;70565;58671;65,2
"H1_2018.04";93414;80497;79187;79044;73781;60896;65,2
"H2_2017.04";75626;64597;63725;63861;60571;49380;65,3
"H2_2018.02";86305;72670;71993;71831;68168;57516;66,6
"H2_2018.04";94149;79653;78161;78194;71686;58776;62,4
"H3_2017.04";86834;72097;71073;71146;66140;54007;62,2
"H3_2018.02";92761;82949;82262;81920;79355;66620;71,8
"H3_2018.04";86338;75576;74347;74031;68242;54133;62,7
"H4_2017.04";76299;64266;63304;63265;56637;46107;60,4
"H4_2018.02";87176;74855;74272;73982;71118;59529;68,3
"H4_2018.04";86715;74752;73892;73692;69599;58146;67,1
"P1_2018.02";75392;66005;65353;65280;62462;52241;69,3
"P1_2018.04";87953;75887;74164;73845;66345;53780;61,1
"P2_2018.02";71283;62222;61750;61525;59013;49983;70,1
"P3_2018.02";85319;70744;70318;69902;67204;54533;63,9
"P4_2018.02";91750;73135;72136;72018;69012;57350;62,5
