Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
GTR+G,8528,524333.320860133,419427.637995902,-201141.305996918,n/a,0.786440201179247,1.20206810732446,0.253444485505186,0.311854777288769,0.172541768819636,0.262158968386408,0.07,0.05,0.12,0.06,0.12,0.06,0.07,0.21,0.05,0.12,0.07,0.03
GTR+G+I,8529,524347.632622429,419429.658928916,-201141.305996918,0,0.786440201179247,1.20206810732446,0.253444485505186,0.311854777288769,0.172541768819636,0.262158968386408,0.07,0.05,0.12,0.06,0.12,0.06,0.07,0.21,0.05,0.12,0.07,0.03
TN93+G,8525,524471.254971662,419602.444610121,-201231.740696128,n/a,0.799403650691657,1.085036489698,0.253444485505186,0.311854777288769,0.172541768819636,0.262158968386408,0.07,0.04,0.11,0.06,0.11,0.06,0.06,0.21,0.06,0.1,0.07,0.04
TN93+G+I,8526,524485.566733959,419604.465535714,-201231.740696128,0,0.799403650691657,1.085036489698,0.253444485505186,0.311854777288769,0.172541768819636,0.262158968386408,0.07,0.04,0.11,0.06,0.11,0.06,0.06,0.21,0.06,0.1,0.07,0.04
HKY+G,8524,524636.130809061,419779.611286697,-201321.334495975,n/a,0.797897991559598,1.15580066073249,0.253444485505186,0.311854777288769,0.172541768819636,0.262158968386408,0.07,0.04,0.14,0.06,0.09,0.06,0.06,0.17,0.06,0.14,0.07,0.04
HKY+G+I,8525,524650.442571358,419781.632209817,-201321.334495975,0,0.797897991559598,1.15580066073249,0.253444485505186,0.311854777288769,0.172541768819636,0.262158968386408,0.07,0.04,0.14,0.06,0.09,0.06,0.06,0.17,0.06,0.14,0.07,0.04
T92+G,8522,525233.473390477,420401.535553888,-201634.31754898,n/a,0.801784036343585,1.15142692404753,0.282649631396978,0.282649631396978,0.217350368603022,0.217350368603022,0.07,0.05,0.12,0.07,0.12,0.05,0.07,0.15,0.05,0.15,0.07,0.05
T92+G+I,8523,525247.785152774,420403.556472061,-201634.31754898,0,0.801784036343585,1.15142692404753,0.282649631396978,0.282649631396978,0.217350368603022,0.217350368603022,0.07,0.05,0.12,0.07,0.12,0.05,0.07,0.15,0.05,0.15,0.07,0.05
K2+G,8521,526323.592349427,421503.945359436,-202186.532909604,n/a,0.839911553756855,1.09928891982629,0.25,0.25,0.25,0.25,0.06,0.06,0.13,0.06,0.13,0.06,0.06,0.13,0.06,0.13,0.06,0.06
K2+G+I,8522,526337.904111724,421505.966275135,-202186.532909604,0,0.839911553756855,1.09928891982629,0.25,0.25,0.25,0.25,0.06,0.06,0.13,0.06,0.13,0.06,0.06,0.13,0.06,0.13,0.06,0.06
JC+G,8520,528670.836082296,423863.479941376,-203367.310657186,n/a,0.879150592075161,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+G+I,8521,528685.147844592,423865.500854601,-203367.310657186,0,0.879150592075161,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
GTR+I,8528,535897.028550089,430991.345685858,-206923.159841896,0,n/a,1.08668156641894,0.253444485505186,0.311854777288769,0.172541768819636,0.262158968386408,0.08,0.04,0.13,0.07,0.1,0.06,0.06,0.18,0.04,0.12,0.08,0.03
GTR,8527,535984.947713899,431091.555681424,-206974.275304949,n/a,n/a,1.07872026886191,0.253444485505186,0.311854777288769,0.172541768819636,0.262158968386408,0.08,0.04,0.13,0.07,0.1,0.06,0.06,0.18,0.04,0.12,0.08,0.03
HKY+I,8524,536128.309025537,431271.789503173,-207067.423604213,0,n/a,1.00053157431846,0.253444485505186,0.311854777288769,0.172541768819636,0.262158968386408,0.08,0.04,0.13,0.06,0.09,0.06,0.06,0.16,0.06,0.13,0.08,0.04
HKY,8523,536133.431806972,431289.203126259,-207077.140876079,n/a,n/a,1.05607093858041,0.253444485505186,0.311854777288769,0.172541768819636,0.262158968386408,0.07,0.04,0.14,0.06,0.09,0.06,0.06,0.16,0.06,0.13,0.07,0.04
TN93,8524,536244.515153952,431387.995631588,-207125.526668421,n/a,n/a,1.0080478856965,0.253444485505186,0.311854777288769,0.172541768819636,0.262158968386408,0.08,0.04,0.1,0.06,0.11,0.06,0.06,0.2,0.06,0.1,0.08,0.04
TN93+I,8525,536301.962447222,431433.152085681,-207147.094433908,0,n/a,1.00804204940206,0.253444485505186,0.311854777288769,0.172541768819636,0.262158968386408,0.08,0.04,0.1,0.06,0.11,0.06,0.06,0.2,0.06,0.1,0.08,0.04
T92,8521,536432.772661556,431613.125671565,-207241.123065668,n/a,n/a,1.07547276461726,0.282649631396978,0.282649631396978,0.217350368603022,0.217350368603022,0.07,0.05,0.11,0.07,0.11,0.05,0.07,0.15,0.05,0.15,0.07,0.05
T92+I,8522,536508.194679439,431676.25684285,-207271.678193461,0,n/a,1.06969045257453,0.282649631396978,0.282649631396978,0.217350368603022,0.217350368603022,0.07,0.05,0.11,0.07,0.11,0.05,0.07,0.15,0.05,0.15,0.07,0.05
K2,8520,537099.928642202,432292.572501283,-207581.856937139,n/a,n/a,1.04116248184759,0.25,0.25,0.25,0.25,0.06,0.06,0.13,0.06,0.13,0.06,0.06,0.13,0.06,0.13,0.06,0.06
K2+I,8521,537119.335858605,432299.688868613,-207584.404664192,0,n/a,1.04015729346156,0.25,0.25,0.25,0.25,0.06,0.06,0.13,0.06,0.13,0.06,0.06,0.13,0.06,0.13,0.06,0.06
JC+I,8520,539077.236481858,434269.880340938,-208570.510856967,0,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC,8519,539099.72148393,434304.656194555,-208588.909239151,n/a,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
