Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
TN93+G+I,320,34426.6096038331,31542.4632203228,-15449.5470129428,0.110714990503641,1.57511204431646,1.01552372110657,0.248250322201739,0.300112566683524,0.179715157348647,0.27192195376609,0.07,0.04,0.11,0.06,0.11,0.07,0.06,0.19,0.07,0.1,0.07,0.04
HKY+G+I,319,34446.9471063551,31571.8031622511,-15465.2275072944,0.110907616907197,1.52476845181514,1.00365850446254,0.248250322201739,0.300112566683524,0.179715157348647,0.27192195376609,0.07,0.04,0.14,0.06,0.09,0.07,0.06,0.15,0.07,0.13,0.07,0.04
GTR+G+I,323,34455.0019940322,31543.8486900625,-15447.2079787708,0.110882621825271,1.61758841648173,1.01574696077321,0.248250322201739,0.300112566683524,0.179715157348647,0.27192195376609,0.06,0.05,0.11,0.05,0.11,0.07,0.06,0.19,0.07,0.1,0.07,0.05
TN93+G,319,34514.3005850691,31639.1566409651,-15498.9042466514,n/a,0.569545508043343,1.04094071312358,0.248250322201739,0.300112566683524,0.179715157348647,0.27192195376609,0.07,0.04,0.12,0.06,0.11,0.07,0.06,0.19,0.07,0.11,0.07,0.04
HKY+G,318,34528.0066340455,31661.8651956353,-15511.2690142301,n/a,0.567707621779274,1.0298111665061,0.248250322201739,0.300112566683524,0.179715157348647,0.27192195376609,0.07,0.04,0.14,0.06,0.09,0.07,0.06,0.15,0.07,0.13,0.07,0.04
GTR+G,322,34545.4339556928,31643.2828922465,-15497.9357026916,n/a,0.578341731578477,1.0390855743174,0.248250322201739,0.300112566683524,0.179715157348647,0.27192195376609,0.07,0.05,0.12,0.06,0.11,0.06,0.06,0.19,0.07,0.11,0.07,0.05
T92+G+I,317,34580.9412172005,31723.8023507687,-15543.2480488982,0.111047015584183,1.72546292153106,0.972592092652439,0.274181444442632,0.274181444442632,0.225818555557368,0.225818555557368,0.07,0.06,0.11,0.07,0.11,0.06,0.07,0.14,0.06,0.14,0.07,0.06
K2+G+I,316,34583.774620857,31735.6383926848,-15550.176493817,0.110959314253095,1.60961416760093,0.968155976918224,0.25,0.25,0.25,0.25,0.06,0.06,0.12,0.06,0.12,0.06,0.06,0.12,0.06,0.12,0.06,0.06
K2+G,315,34664.7629142971,31825.6293906624,-15596.1823836276,n/a,0.577782150853463,0.991527750430634,0.25,0.25,0.25,0.25,0.06,0.06,0.12,0.06,0.12,0.06,0.06,0.12,0.06,0.12,0.06,0.06
T92+G,316,34670.4196341178,31822.2834059456,-15593.4990004474,n/a,0.588099583580782,0.99824455685902,0.274181444442632,0.274181444442632,0.225818555557368,0.225818555557368,0.07,0.06,0.11,0.07,0.11,0.06,0.07,0.14,0.06,0.14,0.07,0.06
