Column1;Chlorophyta;Ochrophyta;Cryptophyta;Haptophyta;Katablepharidophyta;Rhodophyta;U.Chlorophyta;U.Ochrophyta;U.Cryptophyta;U.Haptophyta;U.Katablepharidophyta;U.Rhodophyta;NS.Chlorophyta;NS.Ochrophyta;NS.Cryptophyta;NS.Haptophyta;NS.Katablepharidophyta;NS.Rhodophyta
C1A17;643;255;0;4735;0;0;0;531;0;41;0;0;57;3691;0;199;0;0
C1F18;10021;913;402;393;429;0;0;295;20;14;18;0;129;1817;136;34;70;0
C1A18;14455;3850;1195;409;50;0;126;67;0;22;6;0;466;340;164;124;535;0
C2A17;95;38;8;81;0;0;0;24;0;0;0;0;0;297;0;0;5;0
C2F18;2345;2403;468;279;114;0;0;545;0;54;1;0;123;6927;151;7;99;0
C2A18;11514;2115;652;118;21;0;142;177;0;45;5;0;644;447;143;156;157;0
C3A17;382;2649;0;30;0;0;0;232;0;0;0;0;42;1990;0;9;13;0
C3F18;777;7300;115;532;13;0;10;1093;17;187;0;5;286;13970;69;83;45;0
C3A18;4949;4414;984;481;66;0;15;680;0;215;0;0;951;4769;239;380;484;0
C4A17;122;53;0;47;0;0;0;40;0;0;0;0;59;560;0;0;0;0
C4F18;1396;5502;302;631;17;0;56;1096;0;196;0;0;429;12746;143;146;105;0
C4A18;6406;6161;1139;518;65;0;84;473;0;138;8;0;538;2449;104;436;396;0
F1A17;3193;375;3020;802;0;0;85;158;0;153;0;13;108;755;2879;205;219;0
F1F18;1173;1460;130;93;139;0;0;144;0;9;0;5;9;17536;52;48;3;0
F1A18;12839;720;1233;64;39;0;31;50;0;0;0;12;961;438;182;54;15;0
F2A17;4957;336;1129;639;0;0;16;293;0;133;0;12;131;668;304;118;77;0
F2F18;2442;1201;266;120;215;0;0;130;0;55;0;10;26;9178;94;23;0;0
F2A18;17280;1335;955;72;69;0;13;48;0;0;0;0;296;655;127;97;26;0
F3A17;2388;97;255;190;0;0;11;33;0;53;0;0;42;125;70;19;40;0
F3F18;3275;764;1114;214;536;0;42;145;0;59;29;0;15;2723;77;165;1;0
F3A18;11275;446;453;28;31;0;32;34;0;0;0;49;1046;128;53;41;0;0
F4A17;1418;68;260;155;0;0;11;15;0;0;0;24;0;24;140;22;18;0
F4F18;3269;722;1014;165;469;0;6;157;16;46;36;20;42;2484;106;130;4;0
F4A18;11540;1093;1910;70;67;0;4;88;0;28;0;0;494;697;321;165;16;0
H1A17;17213;345;408;1761;0;0;509;176;0;120;0;168;1035;218;93;381;0;243
H1F18;26587;390;663;92;290;0;22;118;0;0;0;22;318;345;5;173;17;106
H1A18;18850;1256;775;157;16;0;297;33;0;83;0;17;202;444;114;207;2;97
H2A17;18321;284;366;1284;0;0;989;27;0;32;0;11;535;293;79;272;0;0
H2F18;23038;435;981;111;185;0;27;78;0;0;0;0;645;315;138;178;14;10
H2A18;18473;1509;936;139;23;0;256;204;0;75;0;75;120;283;118;202;1;54
H3A17;16246;387;1012;415;0;0;729;42;0;56;0;48;609;196;125;322;0;30
H3F18;27140;723;864;219;143;0;443;90;0;55;0;0;546;294;24;95;17;0
H3A18;18712;1089;1001;134;39;0;25;78;0;35;0;11;112;356;147;131;5;37
H4A17;17452;768;1261;541;0;0;3257;188;0;263;0;68;2752;286;167;300;7;25
H4F18;27445;577;689;148;83;0;132;32;0;31;0;0;471;558;55;93;24;1
H4A18;21720;2954;1412;351;8;0;39;47;0;43;0;0;394;647;131;223;0;45
P1F18;18892;2362;865;69;189;0;0;68;0;0;0;0;310;158;99;42;85;8
P1A18;2895;4160;274;149;0;0;13;2605;0;35;29;1256;242;5095;0;99;0;788
P2F18;17954;2218;1561;226;307;0;0;138;16;10;0;0;1084;205;93;17;70;0
P3F18;11998;2559;1458;101;124;0;48;105;80;27;0;0;8828;84;97;80;39;0
P4F18;16401;2339;815;53;283;0;0;146;47;9;0;0;529;195;56;70;75;0
