"";"Chlorophyta";"Ochrophyta";"Cryptophyta";"Haptophyta";"Katablepharidophyta";"Rhodophyta"
"C1A17";700;4477;0;4975;0;0
"C1F18";10150;3025;558;441;517;0
"C1A18";15047;4257;1359;555;591;0
"C2A17";95;359;8;81;5;0
"C2F18";2468;9875;619;340;214;0
"C2A18";12300;2739;795;319;183;0
"C3A17";424;4871;0;39;13;0
"C3F18";1073;22363;201;802;58;5
"C3A18";5915;9863;1223;1076;550;0
"C4A17";181;653;0;47;0;0
"C4F18";1881;19344;445;973;122;0
"C4A18";7028;9083;1243;1092;469;0
"F1A17";3386;1288;5899;1160;219;13
"F1F18";1182;19140;182;150;142;5
"F1A18";13831;1208;1415;118;54;12
"F2A17";5104;1297;1433;890;77;12
"F2F18";2468;10509;360;198;215;10
"F2A18";17589;2038;1082;169;95;0
"F3A17";2441;255;325;262;40;0
"F3F18";3332;3632;1191;438;566;0
"F3A18";12353;608;506;69;31;49
"F4A17";1429;107;400;177;18;24
"F4F18";3317;3363;1136;341;509;20
"F4A18";12038;1878;2231;263;83;0
"H1A17";18757;739;501;2262;0;411
"H1F18";26927;853;668;265;307;128
"H1A18";19349;1733;889;447;18;114
"H2A17";19845;604;445;1588;0;11
"H2F18";23710;828;1119;289;199;10
"H2A18";18849;1996;1054;416;24;129
"H3A17";17584;625;1137;793;0;78
"H3F18";28129;1107;888;369;160;0
"H3A18";18849;1523;1148;300;44;48
"H4A17";23461;1242;1428;1104;7;93
"H4F18";28048;1167;744;272;107;1
"H4A18";22153;3648;1543;617;8;45
"P1F18";19202;2588;964;111;274;8
"P1A18";3150;11860;274;283;29;2044
"P2F18";19038;2561;1670;253;377;0
"P3F18";20874;2748;1635;208;163;0
"P4F18";16930;2680;918;132;358;0
