"";"Chlorophyta";"Ochrophyta";"Cryptophyta";"Haptophyta";"Katablepharidophyta";"Rhodophyta"
"C1A17";0;531;0;41;0;0
"C1F18";0;295;20;14;18;0
"C1A18";126;67;0;22;6;0
"C2A17";0;24;0;0;0;0
"C2F18";0;545;0;54;1;0
"C2A18";142;177;0;45;5;0
"C3A17";0;232;0;0;0;0
"C3F18";10;1093;17;187;0;5
"C3A18";15;680;0;215;0;0
"C4A17";0;40;0;0;0;0
"C4F18";56;1096;0;196;0;0
"C4A18";84;473;0;138;8;0
"F1A17";0;0;0;0;0;0
"F1F18";0;0;0;0;0;0
"F1A18";0;0;0;0;0;0
"F2A17";0;0;0;0;0;0
"F2F18";0;0;0;0;0;0
"F2A18";0;0;0;0;0;0
"F3A17";0;0;0;0;0;0
"F3F18";0;0;0;0;0;0
"F3A18";0;0;0;0;0;0
"F4A17";0;0;0;0;0;0
"F4F18";0;0;0;0;0;0
"F4A18";0;0;0;0;0;0
"H1A17";0;0;0;0;0;0
"H1F18";0;0;0;0;0;0
"H1A18";0;0;0;0;0;0
"H2A17";0;0;0;0;0;0
"H2F18";0;0;0;0;0;0
"H2A18";0;0;0;0;0;0
"H3A17";0;0;0;0;0;0
"H3F18";0;0;0;0;0;0
"H3A18";0;0;0;0;0;0
"H4A17";0;0;0;0;0;0
"H4F18";0;0;0;0;0;0
"H4A18";0;0;0;0;0;0
"P1F18";0;0;0;0;0;0
"P1A18";0;0;0;0;0;0
"P2F18";0;0;0;0;0;0
"P3F18";0;0;0;0;0;0
"P4F18";0;0;0;0;0;0
