"";"Chlorophyta";"Ochrophyta";"Cryptophyta";"Haptophyta";"Katablepharidophyta";"Rhodophyta"
"C1A17";0;0;0;0;0;0
"C1F18";0;0;0;0;0;0
"C1A18";0;0;0;0;0;0
"C2A17";0;0;0;0;0;0
"C2F18";0;0;0;0;0;0
"C2A18";0;0;0;0;0;0
"C3A17";0;0;0;0;0;0
"C3F18";0;0;0;0;0;0
"C3A18";0;0;0;0;0;0
"C4A17";0;0;0;0;0;0
"C4F18";0;0;0;0;0;0
"C4A18";0;0;0;0;0;0
"F1A17";85;158;0;153;0;13
"F1F18";0;144;0;9;0;5
"F1A18";31;50;0;0;0;12
"F2A17";16;293;0;133;0;12
"F2F18";0;130;0;55;0;10
"F2A18";13;48;0;0;0;0
"F3A17";11;33;0;53;0;0
"F3F18";42;145;0;59;29;0
"F3A18";32;34;0;0;0;49
"F4A17";11;15;0;0;0;24
"F4F18";6;157;16;46;36;20
"F4A18";4;88;0;28;0;0
"H1A17";0;0;0;0;0;0
"H1F18";0;0;0;0;0;0
"H1A18";0;0;0;0;0;0
"H2A17";0;0;0;0;0;0
"H2F18";0;0;0;0;0;0
"H2A18";0;0;0;0;0;0
"H3A17";0;0;0;0;0;0
"H3F18";0;0;0;0;0;0
"H3A18";0;0;0;0;0;0
"H4A17";0;0;0;0;0;0
"H4F18";0;0;0;0;0;0
"H4A18";0;0;0;0;0;0
"P1F18";0;0;0;0;0;0
"P1A18";0;0;0;0;0;0
"P2F18";0;0;0;0;0;0
"P3F18";0;0;0;0;0;0
"P4F18";0;0;0;0;0;0
