"";"Chlorophyta";"Ochrophyta";"Cryptophyta";"Haptophyta";"Katablepharidophyta";"Rhodophyta"
"C1A17";0;0;0;0;0;0
"C1F18";0;0;0;0;0;0
"C1A18";0;0;0;0;0;0
"C2A17";0;0;0;0;0;0
"C2F18";0;0;0;0;0;0
"C2A18";0;0;0;0;0;0
"C3A17";0;0;0;0;0;0
"C3F18";0;0;0;0;0;0
"C3A18";0;0;0;0;0;0
"C4A17";0;0;0;0;0;0
"C4F18";0;0;0;0;0;0
"C4A18";0;0;0;0;0;0
"F1A17";0;0;0;0;0;0
"F1F18";0;0;0;0;0;0
"F1A18";0;0;0;0;0;0
"F2A17";0;0;0;0;0;0
"F2F18";0;0;0;0;0;0
"F2A18";0;0;0;0;0;0
"F3A17";0;0;0;0;0;0
"F3F18";0;0;0;0;0;0
"F3A18";0;0;0;0;0;0
"F4A17";0;0;0;0;0;0
"F4F18";0;0;0;0;0;0
"F4A18";0;0;0;0;0;0
"H1A17";0;0;0;0;0;0
"H1F18";0;0;0;0;0;0
"H1A18";0;0;0;0;0;0
"H2A17";0;0;0;0;0;0
"H2F18";0;0;0;0;0;0
"H2A18";0;0;0;0;0;0
"H3A17";0;0;0;0;0;0
"H3F18";0;0;0;0;0;0
"H3A18";0;0;0;0;0;0
"H4A17";0;0;0;0;0;0
"H4F18";0;0;0;0;0;0
"H4A18";0;0;0;0;0;0
"P1F18";0;68;0;0;0;0
"P1A18";13;2605;0;35;29;1256
"P2F18";0;138;16;10;0;0
"P3F18";48;105;80;27;0;0
"P4F18";0;146;47;9;0;0
