Cast;Profundidad;Salinidad;Oxigeno;Temperatura;Lugar;Punto;Latitud;Longitud
7;12;34,3971;2,54417;13,4774;C;1;-26.345461;-70.647166
7;11;34,371;2,55185;13,507;C;1;-26.345461;-70.647166
7;10;34,3938;2,53928;13,5499;C;1;-26.345461;-70.647166
7;9;34,3796;2,53459;13,6185;C;1;-26.345461;-70.647166
7;8;34,3908;2,55323;13,6919;C;1;-26.345461;-70.647166
7;7;34,4025;2,57599;13,8513;C;1;-26.345461;-70.647166
7;6;34,4251;2,62129;13,982;C;1;-26.345461;-70.647166
7;5;34,3959;2,72302;14,1346;C;1;-26.345461;-70.647166
7;4;34,412;2,80272;14,2317;C;1;-26.345461;-70.647166
7;3;34,4228;2,85533;14,3722;C;1;-26.345461;-70.647166
7;2;34,4062;2,96463;14,5367;C;1;-26.345461;-70.647166
7;1;34,4988;3,11422;15,1522;C;1;-26.345461;-70.647166
Cha_1;;34,4079666666667;2,69836;14,0087833333333;Cha;1;-26.345461;-70.647166
8;11;34,3877;2,74569;13,7394;C;2;-26.337583;-70.650278
8;10;34,3887;2,74826;13,7666;C;2;-26.337583;-70.650278
8;9;34,4069;2,76789;13,7863;C;2;-26.337583;-70.650278
8;8;34,3955;2,76602;13,8632;C;2;-26.337583;-70.650278
8;7;34,4191;2,77043;14,009;C;2;-26.337583;-70.650278
8;6;34,406;2,82357;14,2657;C;2;-26.337583;-70.650278
8;5;34,4243;2,9497;14,4684;C;2;-26.337583;-70.650278
8;4;34,4601;3,08481;14,7012;C;2;-26.337583;-70.650278
8;3;34,4199;3,28633;15,1525;C;2;-26.337583;-70.650278
8;2;34,5357;3,70438;15,5278;C;2;-26.337583;-70.650278
8;1;34,7773;4,2233;16,3728;C;2;-26.337583;-70.650278
Cha_2;;34,4565;3,07913;14,5139;Cha;2;-26.337583;-70.650278
9;12;34,4449;2,60492;13,5629;C;3;-26.337389;-70.637083
9;11;34,4236;2,46884;13,8931;C;3;-26.337389;-70.637083
9;10;34,4072;2,77448;13,9994;C;3;-26.337389;-70.637083
9;9;34,4126;2,65993;14,0479;C;3;-26.337389;-70.637083
9;8;34,4237;2,69152;14,078;C;3;-26.337389;-70.637083
9;7;34,4754;2,75707;14,1266;C;3;-26.337389;-70.637083
9;6;34,5177;2,81009;14,3864;C;3;-26.337389;-70.637083
9;5;34,4745;2,96796;14,8835;C;3;-26.337389;-70.637083
9;4;34,4064;3,25856;15,2544;C;3;-26.337389;-70.637083
9;3;34,3636;3,64335;15,8096;C;3;-26.337389;-70.637083
9;2;34,5011;3,9664;16,1875;C;3;-26.337389;-70.637083
9;1;34,525;4,14778;16,5169;C;3;-26.337389;-70.637083
Cha_3;;34,4480;3,06258;14,72885;Cha;3;-26.337389;-70.637083
10;5;34,3871;3,63198;15,046;C;4;-26.332222;-70.641694
10;4;34,4766;3,41126;15,0814;C;4;-26.332222;-70.641694
10;3;34,4863;3,49502;15,538;C;4;-26.332222;-70.641694
10;2;34,4511;3,66261;15,884;C;4;-26.332222;-70.641694
10;1;34,5171;3,82023;16,8073;C;4;-26.332222;-70.641694
Cha_4;;34,4636;3,60422;15,67134;Cha;4;-26.332222;-70.641694
11;16;34,4215;2,22736;12,9782;F;1;-26.567028;-70.698139
11;15;34,3815;2,21509;13,0996;F;1;-26.567028;-70.698139
11;14;34,4251;2,20651;13,2497;F;1;-26.567028;-70.698139
11;13;34,4117;2,2179;13,2934;F;1;-26.567028;-70.698139
11;12;34,4161;2,21475;13,311;F;1;-26.567028;-70.698139
11;11;34,4154;2,21249;13,3215;F;1;-26.567028;-70.698139
11;10;34,415;2,20759;13,332;F;1;-26.567028;-70.698139
11;9;34,4164;2,21535;13,3543;F;1;-26.567028;-70.698139
11;8;34,4093;2,26481;13,3923;F;1;-26.567028;-70.698139
11;7;34,4211;2,33472;13,4362;F;1;-26.567028;-70.698139
11;6;34,4322;2,38283;13,668;F;1;-26.567028;-70.698139
11;5;34,4437;2,56292;13,8136;F;1;-26.567028;-70.698139
11;4;34,5188;2,69796;14,1506;F;1;-26.567028;-70.698139
11;3;34,4442;2,91091;14,3649;F;1;-26.567028;-70.698139
11;2;34,4218;3,07296;14,6135;F;1;-26.567028;-70.698139
11;1;34,4331;3,31067;14,8219;F;1;-26.567028;-70.698139
Fla_1;;34,4267;2,45342625;13,63754375;Fla;1;-26.567028;-70.698139
12;17;34,4188;2,27679;13,2916;F;2;-26.557589;-70.698666
12;16;34,4133;2,22528;13,294;F;2;-26.557589;-70.698666
12;15;34,4156;2,23114;13,3001;F;2;-26.557589;-70.698666
12;14;34,4219;2,23496;13,3103;F;2;-26.557589;-70.698666
12;13;34,4178;2,23879;13,3351;F;2;-26.557589;-70.698666
12;12;34,4293;2,24544;13,3529;F;2;-26.557589;-70.698666
12;11;34,4213;2,25977;13,425;F;2;-26.557589;-70.698666
12;10;34,4337;2,3047;13,4479;F;2;-26.557589;-70.698666
12;9;34,4528;2,33839;13,5349;F;2;-26.557589;-70.698666
12;8;34,4367;2,3944;13,626;F;2;-26.557589;-70.698666
12;7;34,4255;2,47411;13,6764;F;2;-26.557589;-70.698666
12;6;34,437;2,51648;13,6981;F;2;-26.557589;-70.698666
12;5;34,4535;2,51064;13,7711;F;2;-26.557589;-70.698666
12;4;34,4617;2,55744;13,9053;F;2;-26.557589;-70.698666
12;3;34,504;2,6829;14,0857;F;2;-26.557589;-70.698666
12;2;34,4772;2,89845;14,3995;F;2;-26.557589;-70.698666
12;1;34,48;3,30095;14,6593;F;2;-26.557589;-70.698666
Fla_2;;34,4412;2,45239;13,6537176470588;Fla;2;-26.557589;-70.698666
13;14;34,4351;2,27672;13,478;F;3;-26.558749;-70.688092
13;13;34,4294;2,27448;13,4763;F;3;-26.558749;-70.688092
13;12;34,4313;2,27615;13,4817;F;3;-26.558749;-70.688092
13;11;34,4318;2,27705;13,4874;F;3;-26.558749;-70.688092
13;10;34,4316;2,28189;13,4983;F;3;-26.558749;-70.688092
13;9;34,4318;2,28307;13,5176;F;3;-26.558749;-70.688092
13;8;34,4289;2,30257;13,5493;F;3;-26.558749;-70.688092
13;7;34,4345;2,33593;13,5731;F;3;-26.558749;-70.688092
13;6;34,4242;2,37199;13,6733;F;3;-26.558749;-70.688092
13;5;34,4401;2,48763;13,8104;F;3;-26.558749;-70.688092
13;4;34,4264;2,64682;14,0744;F;3;-26.558749;-70.688092
13;3;34,422;2,92649;14,4397;F;3;-26.558749;-70.688092
13;2;34,4173;3,28673;14,7266;F;3;-26.558749;-70.688092
13;1;34,5658;3,60405;15,341;F;3;-26.558749;-70.688092
Fla_3;;34,4393;2,54511;13,8662214285714;Fla;3;-26.558749;-70.688092
14;15;34,4307;2,08021;13,1892;F;4;-26.568167;-70.689083
14;14;34,4275;2,06228;13,2533;F;4;-26.568167;-70.689083
14;13;34,4235;2,13237;13,3666;F;4;-26.568167;-70.689083
14;12;34,431;2,12039;13,4629;F;4;-26.568167;-70.689083
14;11;34,4292;2,15546;13,5334;F;4;-26.568167;-70.689083
14;10;34,4304;2,27188;13,6071;F;4;-26.568167;-70.689083
14;9;34,4277;2,36813;13,6442;F;4;-26.568167;-70.689083
14;8;34,4276;2,42763;13,6482;F;4;-26.568167;-70.689083
14;7;34,4302;2,46993;13,6459;F;4;-26.568167;-70.689083
14;6;34,4301;2,45911;13,6711;F;4;-26.568167;-70.689083
14;5;34,4276;2,64088;13,7616;F;4;-26.568167;-70.689083
14;4;34,4274;2,73583;13,8923;F;4;-26.568167;-70.689083
14;3;34,4384;2,85936;14,1654;F;4;-26.568167;-70.689083
14;2;34,504;3,20313;14,6845;F;4;-26.568167;-70.689083
14;1;34,384;3,89086;15,5535;F;4;-26.568167;-70.689083
Fla_4;;34,4312866666667;2,52516;13,8053;Fla;4;-26.568167;-70.689083
21;7;34,3858;3,3072;14,8355;H;1;-28.470556;-71.257889
21;6;34,4174;3,34484;14,9636;H;1;-28.470556;-71.257889
21;5;34,4948;3,34085;15,2015;H;1;-28.470556;-71.257889
21;4;34,4924;3,42563;15,486;H;1;-28.470556;-71.257889
21;3;34,4485;3,52897;15,7954;H;1;-28.470556;-71.257889
21;2;34,4192;3,62099;15,9349;H;1;-28.470556;-71.257889
21;1;34,4552;3,72789;16,2284;H;1;-28.470556;-71.257889
Hu_1;;34,4448;3,47091;15,4921857142857;Hu;1;-28.470556;-71.257889
22;25;34,4081;2,95197;14,4178;H;2;-28.475833;-71.261583
22;24;34,3963;2,87316;14,4173;H;2;-28.475833;-71.261583
22;23;34,404;2,89657;14,3972;H;2;-28.475833;-71.261583
22;22;34,4013;2,9083;14,4982;H;2;-28.475833;-71.261583
22;21;34,3494;2,91527;14,8166;H;2;-28.475833;-71.261583
