"";"Chlorophyta";"Ochrophyta";"Cryptophyta";"Haptophyta";"Katablepharidophyta"
"C1_2017.04";700;3431;0;4833;0
"C1_2018.02";10071;2649;538;423;478
"C1_2018.04";14895;4077;1359;483;567
"C2_2017.04";95;296;8;81;5
"C2_2018.02";2382;9241;619;286;206
"C2_2018.04";12158;2465;795;163;167
"C3_2017.04";396;4515;0;35;13
"C3_2018.02";1054;21038;184;548;58
"C3_2018.04";5868;8979;1223;822;550
"C4_2017.04";133;562;0;47;0
"C4_2018.02";1622;17931;445;680;122
"C4_2018.04";6944;8317;1243;811;461
"F1_2017.04";3301;1130;5899;1007;219
"F1_2018.02";1182;18996;182;141;142
"F1_2018.04";13800;1158;1415;118;54
"F2_2017.04";5088;1004;1433;757;77
"F2_2018.02";2468;10379;360;143;215
"F2_2018.04";17576;1990;1082;169;95
"F3_2017.04";2430;222;325;209;40
"F3_2018.02";3290;3487;1191;379;537
"F3_2018.04";12321;574;506;69;31
"F4_2017.04";1418;92;400;177;18
"F4_2018.02";3311;3206;1120;295;473
"F4_2018.04";12034;1790;2231;235;83
"H1_2017.04";17771;513;501;1916;0
"H1_2018.02";26627;681;668;175;293
"H1_2018.04";18979;1651;889;292;18
"H2_2017.04";18738;540;445;1399;0
"H2_2018.02";23117;675;1076;139;185
"H2_2018.04";18521;1725;1054;269;24
"H3_2017.04";16505;546;1137;557;0
"H3_2018.02";27245;970;888;255;148
"H3_2018.04";18739;1368;1148;237;44
"H4_2017.04";18739;973;1428;743;7
"H4_2018.02";27500;1043;712;218;85
"H4_2018.04";22003;3373;1543;509;8
"P1_2018.02";18979;2515;889;101;197
"P1_2018.04";2989;9077;274;164;0
"P2_2018.02";18040;2402;1583;226;307
"P3_2018.02";12016;2623;1519;161;126
"P4_2018.02";16461;2459;850;113;283
