"";"nChl";"cChl";"nOch";"cOch";"nCryp";"cCryp";"nHap";"cHap";"nKata";"cKata";"cRho"
"C1_2017.04";0,0689519306540583;0;0,388691883372734;0,0523049645390071;0;0;0,486012608353034;0,00403861308116627;0;0;0
"C1_2018.02";0,69089918998026;0;0,185828057994691;0,0200803212851406;0,0366210605132394;0,00136137771424682;0,0290654141991696;0,000952964399972772;0,0339663739704581;0,00122523994282214;0
"C1_2018.04";0,684167086982438;0,0057774313356871;0,19212251822642;0,00307212618643679;0,0623137236920537;0;0,0244394516025494;0,00100875785226283;0,0268237883442615;0,000275115777889862;0
"C2_2017.04";0,173357664233577;0;0,611313868613139;0,0437956204379562;0,0145985401459854;0;0,147810218978102;0;0,00912408759124088;0;0
"C2_2018.02";0,182598401894051;0;0,690292986090559;0,0403225806451613;0,0457975732465226;0;0,0211601065403966;0,00399526487126369;0,0157591003255401;7,39863865048831e-05;0
"C2_2018.04";0,7442458374143;0,008692458374143;0,156831537708129;0,0108349657198825;0,0486655239960823;0;0,0167727717923604;0,00275465230166503;0,010896180215475;0,000306072477962782;0
"C3_2017.04";0,0792968019450159;0;0,867589302412568;0,0433888161585936;0;0;0,00729380961286703;0;0,00243126987095568;0;0
"C3_2018.02";0,0433842135335891;0,000408129948575626;0,868092400620358;0,044608603379316;0,00750959105379153;0,000693820912578565;0,025099991837401;0,00763203003836422;0,00236715370173863;0;0,000204064974287813
"C3_2018.04";0,316744510656574;0,000805282654211628;0,492994040908359;0,0365061469909271;0,0656573790733881;0;0,0462232243517475;0,0115423847103667;0,0295270306544264;0;0
"C4_2017.04";0,205448354143019;0;0,695800227014756;0,0454029511918275;0;0;0,0533484676503973;0;0;0;0
"C4_2018.02";0,0801669229079728;0,00245991653854601;0,801581374917637;0,0481440808258291;0,0195475510652317;0;0,0341313419723259;0,00860970788491105;0,00535910388754667;0;0
"C4_2018.04";0,367116045466561;0,00444091990483743;0,455194290245837;0,0250066085117632;0,0657150409727729;0;0,050436161776368;0,00729579698651864;0,0243721913825007;0,00042294475284166;0
"F1_2017.04";0,283524568625734;0;0,0949461329596216;0;0,516685644214767;0;0,0856617325041605;0;0,0191819216957169;0;0
"F1_2018.02";0,0574344023323615;0;0,922546161321672;0;0,00699708454810496;0;0,00612244897959184;0;0,00689990281827017;0;0
"F1_2018.04";0,835160151016929;0;0,0683838752892461;0;0,0859822189745463;0;0,0071854828888077;0;0,00328827183047132;0;0
"F2_2017.04";0,610009789525208;0;0,11441507586882;0;0,175354870288791;0;0,0907978463044542;0;0,00942241801272638;0;0
"F2_2018.02";0,182187430765822;0;0,765896167195923;0;0,0265859242301159;0;0,00945277305959678;0;0,0158777047485415;0;0
"F2_2018.04";0,848718321461453;0;0,0863497601395552;0;0,05243010127441;0;0,00818917478315647;0;0,00431264234142559;0;0
"F3_2017.04";0,759633607075174;0;0,0590650663297536;0;0,102653190145294;0;0,0660138976626658;0;0,0126342387871131;0;0
"F3_2018.02";0,378117457763475;0;0,388116308470291;0;0,136880818296748;0;0,0351683714515573;0;0,061717044017929;0;0
"F3_2018.04";0,917165519305597;0;0,0378629152948219;0;0,0378629152948219;0;0,00478898533373242;0;0,00231966477102664;0;0
"F4_2017.04";0,676526717557252;0;0,0395992366412214;0;0,190839694656489;0;0,0844465648854962;0;0,00858778625954199;0;0
"F4_2018.02";0,404820161487644;0;0,372155615365794;0;0,137019818938096;0;0,0281379985319305;0;0,0578664056765354;0;0
"F4_2018.04";0,73841489822434;0;0,10486914557941;0;0,137474478747757;0;0,0141062921487348;0;0,00513518529975871;0;0
"H1_2017.04";0,85880310556011;0;0,0208323286878526;0;0,0241597145199402;0;0,0962048512320972;0;0;0;0
"H1_2018.02";0,936342957130359;0;0,0215923009623797;0;0,0232020997375328;0;0,00811898512685914;0;0,0107436570428696;0;0
"H1_2018.04";0,873600294917285;0;0,0687065112206811;0;0,0409658541081056;0;0,0158978848900972;0;0,00082945486383116;0;0
"H2_2017.04";0,888102252209446;0;0,0195286515252304;0;0,0211441604105293;0;0,0712249358547943;0;0;0;0
"H2_2018.02";0,919226260257913;0;0,0224697147323173;0;0,0405236420476749;0;0,0100039077764752;0;0,00777647518561938;0;0
"H2_2018.04";0,857050601965035;0;0,0783246459707551;0;0,0486184787121177;0;0,0149453388071406;0;0,00106093454495134;0;0
"H3_2017.04";0,880359503039915;0;0,0259053661115517;0;0,0601110229976209;0;0,033624107850912;0;0;0;0
