,Ostreococcus_lucimarinus,Bathycoccus_prasinos,Micromonas_bravo_B1,Rhizosolenia_delicatula,Micromonas_commoda_A2,Chloroparvula_pacifica,Picochlorum_sp.,Plagioselmis_prolonga,Phaeocystis_globosa,Pelagomonas_calceolata,Pycnococcaceae_X_sp.,Teleaulax_gracilis,Chaetoceros_debilis,Minutocellus_polymorphus,Pelagomonadales_clade_B1_sp.,Teleaulax_sp.,Detonula_pumila,Thalassiosira_tenera,Chaetoceros_tenuissimus,Aureococcus_anophagefferens,Katablepharidales_XX_sp.,Chloropicon_laureae,Guinardia_delicatula,Crustomastigaceae_X_sp.,Chrysophyceae_Clade-H_X_sp.,Chrysochromulina_sp.,Paraphysomonas_imperforata,Leucocryptos_marina,Chlorodendrales_XX_sp.,Cylindrotheca_closterium,Haptolina_sp.,Parmales_env_3B_sp.,Pelagomonadaceae_clade_D1_sp.,Hemiselmis_sp.:nucl,Parmales_env_3A_sp.,Chloropicon_sieburthii,Florenciella_parvula,Pelagomonadaceae_clade_C_sp.,Micromonas_pusilla,Triparma_pacifica,Minidiscus_variabilis,Thalassiosira_rotula,Micromonas_bravo_B2,Prymnesiophyceae_Clade_D_XX_sp.,Florenciellales_X_sp.,Brockmanniella brockmannii,Chloropicon_roscoffensis,Triparma_laevis_clade,Rhodomonas_sp.,Rhizosolenia_imbricata,Chloroparvula_B3_sp.,Guinardia_solstherfothii
C1_2017.08,0,0,603,106,0,0,20,0,4735,0,20,0,0,0,0,0,0,0,45,0,0,0,8,0,13,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0
C1_2018.02,5994,399,795,260,121,735,0,85,236,74,1920,152,90,109,16,147,0,0,37,15,370,42,27,0,103,144,0,59,0,44,13,23,0,0,0,0,0,70,15,0,0,0,0,0,0,10,0,0,18,8,0,1
C1_2018.08,9645,1510,105,0,257,2728,88,597,182,2010,33,315,0,0,1103,283,0,27,0,467,28,38,0,2,53,134,0,22,0,0,68,0,64,0,0,37,40,13,6,11,0,0,0,25,28,0,0,10,0,0,2,0
C2_2017.08,0,0,23,26,0,19,28,0,81,0,25,8,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
C2_2018.02,1020,110,179,755,13,198,0,56,211,56,808,207,1075,57,4,101,0,0,80,0,72,0,75,7,45,68,0,42,0,0,0,0,0,103,0,0,0,162,10,0,4,6,0,0,0,5,0,0,1,2,0,1
C2_2018.08,5413,799,68,12,156,4792,79,299,104,938,71,190,0,0,538,163,0,55,0,226,21,39,11,16,0,14,0,0,47,0,0,0,187,0,7,25,11,18,0,0,5,0,0,0,2,0,7,0,0,0,2,0
C3_2017.08,0,0,24,2194,0,30,91,0,30,0,219,0,0,0,0,0,0,0,0,0,0,18,443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,0,0,0,0,0,0,0,0,0,0
C3_2018.02,58,0,221,6051,8,74,0,0,436,5,416,99,242,58,9,6,0,0,634,0,0,0,153,0,14,78,12,13,0,67,18,0,0,0,0,0,17,14,0,0,0,1,0,0,0,0,0,0,10,1,0,0
C3_2018.08,1786,1248,196,57,398,1096,47,248,352,1479,32,325,0,36,1479,411,1,236,104,596,66,21,38,74,81,47,26,0,0,0,82,14,84,0,0,23,50,6,0,0,0,10,28,0,5,10,0,0,0,0,0,0
C4_2017.08,19,0,0,42,0,0,32,0,47,0,71,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
