"";"Mamiellophyceae";"Basidiomycota";"Syndiniales";"Bacillariophyta";"Arthropoda";"Chloropicophyceae";"Trebouxiophyceae";"Cryptophyceae";"Dinophyceae";"Prymnesiophyceae";"Ascomycota";"Pelagophyceae";"Spirotrichea";"Chlorodendrophyceae";"Pyramimonadophyceae";"Annelida";"MAST-7";"Picozoa_X";"CONThreeP";"NA";"MAST-4";"Ulvophyceae";"Katablepharidaceae";"Prasinodermophyceae";"MAST-3";"Labyrinthulomycetes";"MAST-2";"Ctenophora";"Chrysophyceae";"Telonemia_X";"Cryptomycota";"Porifera";"MAST-1";"Oligohymenophorea";"Bolidophyceae";"Filosa-Thecofilosea";"Pirsonia_Clade";"Bicoecea";"Cryptophyceae:nucl";"Centroheliozoa_X";"Nemertea";"Embryophyceae";"Cnidaria";"Mollusca";"Dictyochophyceae";"Bryozoa";"Litostomatea";"Variosea";"MAST-9";"Urochordata";"MOCH-3";"MAST-8";"MAST-12";"Rotifera";"MAST-11";"Chlorarachniophyceae";"Choanoflagellatea";"Florideophyceae";"Phyllopharyngea";"Chytridiomycota";"CONTH_8";"MAST-10";"Stramenopiles_XX";"Filosa-Imbricatea";"RAD-B";"Echinodermata";"Ellobiopsidae";"Platyhelminthes";"MAST-6";"Craniata";"Ellobiophyceae";"MOCH-2";"MOCH-1";"Haptophyta_Clade_HAP3";"Ichthyosporea";"RAD-A";"Oomycota";"Apicomplexa_X";"Nassophorea";"Prasino-Clade-9";"Perkinsida";"Stramenopiles_X-Group-2";"Colpodellidea";"Planomonadida";"Apusomonadidae_Group-2";"MOCH-5";"Haptophyta_Clade_HAP5";"MAST-25";"Chlorophyceae";"Nematoda";"Polycystinea";"Tubulinea";"MOCH-4";"Entoprocta";"Prasino-Clade-VIII";"Apusomonadidae_Group-1";"Endomyxa";"Filosa-Granofilosea";"Haptophyta_Clade_HAP4";"Monothalamids"
"C1_2017.04";603;21146;1599;3770;9;0;20;0;149;4975;2396;0;3757;1;76;0;0;4;8;0;0;0;0;0;0;191;496;0;660;88;0;0;0;0;0;81;446;43;0;0;0;0;0;4;47;0;0;543;0;0;0;6;198;92;0;6;12;0;52;0;0;0;77;93;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;0;0;0;0;0;0;0;0;0;0;0;0;12;0;0;0;0
"C1_2018.02";7374;3330;12503;1895;300;793;0;491;3690;441;345;175;1059;51;1932;251;491;134;64;0;611;0;517;71;735;1309;20;50;853;131;0;4;160;29;102;799;0;73;67;62;0;0;16;0;0;0;12;0;8;9;0;14;184;17;14;63;77;0;0;79;0;6;39;104;0;0;0;10;0;0;0;0;0;0;12;0;0;0;14;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"C1_2018.04";11578;2820;9706;71;648;3056;88;1359;1921;528;0;3765;2734;0;297;7;40;126;146;0;263;0;591;102;138;30;21;0;183;726;0;0;76;0;48;33;18;0;0;27;0;0;7;0;116;0;7;0;37;11;0;58;93;0;0;0;6;0;6;0;0;0;0;0;0;0;0;0;0;0;3;74;0;27;0;0;0;0;0;28;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"C2_2017.04";23;38821;1179;339;7;19;28;8;41;81;560;0;259;0;25;0;0;0;6;0;0;0;5;0;0;35;25;0;17;32;0;0;0;17;0;13;29;11;0;0;0;20;0;0;3;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"C2_2018.02";1339;870;8703;9109;532;209;0;467;11711;340;0;222;1487;86;834;9;295;146;50;0;408;0;214;72;366;1600;0;34;510;57;0;13;210;52;34;501;0;110;152;33;0;0;110;9;0;0;12;0;0;17;0;0;153;20;0;9;77;0;0;222;0;0;23;58;0;0;0;80;0;0;0;0;0;0;19;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"C2_2018.04";6462;5722;12260;485;1031;5477;79;795;2366;306;14;2012;1866;47;180;0;31;65;89;0;128;0;183;296;72;142;9;26;47;149;0;0;66;0;38;59;0;0;0;9;0;0;0;0;93;0;0;49;78;0;0;28;15;0;0;9;9;0;17;17;0;0;0;0;8;0;0;29;0;22;0;36;28;13;0;33;0;11;0;55;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"C3_2017.04";24;30916;2459;4719;26;48;91;0;151;39;1585;0;185;28;233;0;0;0;0;0;0;0;13;0;0;244;30;0;152;12;0;0;17;50;0;513;0;8;0;0;0;0;0;0;0;0;0;0;8;0;0;7;12;7;0;0;0;0;0;0;0;0;11;65;0;0;0;0;0;3;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"C3_2018.02";321;3069;3829;21485;1009;80;0;115;1332;802;0;28;4416;4;658;143;0;3;0;0;12;10;58;18;89;1203;249;0;824;140;0;11;22;17;0;487;69;41;86;5;0;0;55;0;26;0;0;0;14;42;0;0;113;240;0;41;70;5;8;41;0;0;59;128;0;0;0;15;0;0;0;0;0;0;4;0;0;0;0;0;0;0;19;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0
"C3_2018.04";3754;303;5619;5270;4601;1237;47;1223;5987;1076;6;3781;3408;30;824;0;40;54;231;0;132;2;550;232;101;189;43;21;236;510;0;0;266;23;77;66;164;0;0;73;0;0;62;0;377;0;0;23;21;0;0;57;153;43;0;12;100;0;141;0;0;12;0;6;0;0;0;20;5;39;0;110;12;0;0;0;0;38;0;15;0;0;0;0;15;0;0;0;6;18;0;7;0;0;0;0;0;0;0;0
"C4_2017.04";19;31179;1308;606;49;0;32;0;108;47;7516;0;174;11;71;0;0;0;0;0;0;48;0;0;6;83;22;0;47;8;0;0;0;89;0;121;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26;7;0;0;0;0;15;0;0;0;0;53;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;0;0;0;0;0;0;0
