"";"OTU1";"OTU2";"OTU3";"OTU4";"OTU5";"OTU6";"OTU7";"OTU8";"OTU9";"OTU10";"OTU11";"OTU12";"OTU13";"OTU14";"OTU15";"OTU16";"OTU17";"OTU18";"OTU19";"OTU20";"OTU21";"OTU22";"OTU23";"OTU24";"OTU25";"OTU26";"OTU27";"OTU28";"OTU29";"OTU30";"OTU31";"OTU32";"OTU33";"OTU34";"OTU35";"OTU36";"OTU37";"OTU38";"OTU39";"OTU40";"OTU41";"OTU42";"OTU43";"OTU44";"OTU45";"OTU46";"OTU47";"OTU48";"OTU49";"OTU50";"OTU51";"OTU52"
"C1_2017.04";30;0;0;0;0;53;8;0;13;0;106;4735;0;0;20;0;0;0;20;0;0;0;0;0;0;603;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;45;0;0
"C1_2018.02";0;0;160;15;10;0;27;135;18;68;260;236;57;87;1920;0;59;370;0;735;18;15;121;152;85;795;399;147;5994;0;0;42;0;0;0;17;13;0;23;0;1;0;0;0;0;8;0;0;44;37;90;0
"C1_2018.04";68;0;3214;467;0;27;0;0;20;28;0;182;15;119;33;2;22;28;88;2728;0;6;257;315;597;105;1510;283;9645;0;0;75;5;0;0;0;68;0;0;25;0;10;11;0;2;0;4;0;0;0;0;0
"C2_2017.04";0;0;0;0;0;6;6;0;0;0;26;81;0;0;25;0;0;0;28;19;0;0;0;8;0;23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"C2_2018.02";0;0;222;0;5;86;75;57;13;32;755;211;49;19;808;7;42;72;0;198;1;10;13;207;56;179;110;101;1020;103;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;0;0;0;80;1075;0
"C2_2018.04";11;2;1786;226;0;60;11;0;0;0;12;104;14;0;71;16;0;21;79;4792;0;0;156;190;299;68;799;163;5413;0;47;71;0;0;0;0;0;7;0;0;0;0;0;0;2;0;0;0;0;0;0;0
"C3_2017.04";0;0;0;0;0;12;443;0;0;0;2194;30;0;0;219;0;0;0;91;30;0;0;0;0;0;24;0;0;0;0;0;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"C3_2018.02";17;0;28;0;0;23;153;58;0;14;6051;436;71;7;416;0;13;0;0;74;10;0;8;99;0;221;0;6;58;0;0;0;0;0;0;0;18;0;0;0;0;0;0;0;0;1;0;12;67;634;242;0
"C3_2018.04";50;5;3086;596;10;310;38;36;21;39;57;352;3;42;32;74;0;66;47;1096;0;0;398;325;248;224;1248;411;1786;0;0;44;0;1;2;21;82;0;14;0;0;0;0;0;0;0;0;26;0;104;0;0
"C4_2017.04";0;0;0;0;0;1;10;0;0;0;42;47;0;0;71;0;0;0;32;0;0;0;0;0;0;0;0;0;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"C4_2018.02";0;0;33;0;0;7;139;33;0;61;4176;515;83;9;508;0;17;0;0;192;0;0;6;116;0;547;46;11;97;129;0;0;0;0;0;0;24;0;0;0;0;0;0;3;0;6;0;18;62;537;427;46
"C4_2018.04";31;4;4925;783;0;138;28;0;36;42;25;335;49;74;36;75;25;40;63;1287;0;0;646;377;330;317;1996;432;1918;0;14;52;0;3;7;30;53;82;0;0;0;0;0;0;2;0;0;34;0;0;0;0
"F1_2017.04";0;0;85;1;0;103;29;19;9;0;0;639;71;71;52;0;0;0;0;0;0;28;217;1690;1198;1091;375;132;1430;0;0;0;0;0;0;0;21;40;0;0;0;12;27;0;0;0;0;0;0;50;0;0
"F1_2018.02";0;0;55;0;0;77;259;0;0;43;161;63;22;8;306;2;26;113;8;179;2;5;19;12;100;52;34;3;545;0;0;23;0;0;0;0;0;0;0;0;0;0;0;4;0;4;0;0;0;23;834;13
"F1_2018.04";0;0;366;79;8;92;4;98;8;37;0;35;29;0;456;28;15;24;1880;3319;0;16;232;358;604;127;734;271;5656;0;13;373;0;2;0;0;0;6;20;0;0;0;0;0;0;0;5;0;0;0;0;0
"F2_2017.04";8;3;257;6;0;0;0;39;0;0;0;536;80;23;838;3;0;0;200;54;0;25;318;453;473;1377;533;203;1567;0;0;42;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;23;0;0;0;0
"F2_2018.02";0;0;99;2;5;67;115;25;0;121;20;56;17;39;389;5;55;160;0;393;19;8;73;34;158;71;118;55;1385;0;0;0;0;0;0;64;8;14;0;0;3;7;13;0;0;3;0;0;27;0;616;0
"F2_2018.04";10;3;725;212;13;42;0;35;49;98;0;36;19;0;129;1;38;31;517;1121;0;16;458;228;452;261;1860;275;12816;0;0;93;2;0;7;22;0;25;45;10;0;0;0;1;4;0;4;37;0;16;0;0
"F3_2017.04";0;0;70;4;0;23;0;0;0;0;0;175;15;0;450;0;0;0;241;46;0;16;114;184;0;569;173;71;779;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"F3_2018.02";0;0;232;20;5;13;49;32;31;161;12;145;18;34;331;1;143;393;9;210;9;11;139;180;760;109;282;146;2168;19;0;15;0;0;0;81;17;41;0;0;0;0;0;0;0;6;0;0;22;0;59;0
"F3_2018.04";0;0;162;40;17;73;0;48;14;27;0;17;11;0;687;5;15;16;2969;4031;0;11;142;101;244;85;315;108;2589;0;5;429;0;0;0;0;0;0;13;0;0;0;0;1;7;0;0;51;0;0;0;0
"F4_2017.04";0;0;32;0;0;28;0;0;0;0;0;102;14;39;513;0;0;0;287;64;0;0;19;236;0;218;66;24;215;0;0;34;0;0;0;0;0;8;0;0;0;0;0;0;2;0;0;0;0;0;0;0
"F4_2018.02";0;2;250;18;0;0;20;19;15;149;12;108;0;50;222;2;135;334;0;117;0;19;109;201;657;145;342;112;2313;26;0;0;0;0;0;49;7;12;68;0;0;0;0;0;0;4;0;0;21;0;83;18
"F4_2018.04";58;5;494;137;15;16;6;76;18;55;0;54;1;0;248;38;41;26;746;1099;0;27;466;391;1079;325;1281;440;7163;0;5;142;0;0;15;23;0;0;39;0;0;0;0;0;0;0;0;151;0;0;0;0
"H1_2017.04";0;0;180;3;7;76;0;0;0;0;0;1641;45;38;159;0;0;0;214;78;0;22;271;152;180;618;454;76;14785;0;578;32;0;21;2;0;35;0;32;0;0;0;0;0;0;0;2;16;0;10;0;0
"H1_2018.02";0;0;122;52;0;37;6;60;0;6;13;34;7;28;89;90;62;228;75;110;14;37;1211;171;328;1553;1355;105;22067;28;0;0;0;0;23;0;0;0;0;0;0;16;10;0;0;2;0;0;49;17;0;17
"H1_2018.04";16;6;931;209;0;66;0;0;0;0;0;122;0;0;30;41;0;16;74;388;0;4;728;144;469;195;1516;162;15874;0;0;0;0;0;7;0;0;28;0;28;0;0;0;0;0;0;0;0;0;0;0;0
"H2_2017.04";13;0;147;10;0;40;0;0;0;0;0;1186;40;37;31;6;0;0;82;20;0;10;359;104;184;757;506;78;16550;0;0;0;0;30;4;0;17;0;0;0;0;0;0;0;0;0;0;44;0;0;0;0
"H2_2018.02";55;31;115;17;0;0;0;101;0;0;0;45;28;28;128;67;49;136;91;248;15;30;1213;166;593;1281;1103;164;18877;0;0;0;0;0;10;15;0;0;26;0;0;0;0;0;0;1;0;0;0;0;74;43
"H2_2018.04";0;0;1101;303;0;69;0;0;0;0;0;115;20;0;27;55;0;23;75;326;0;9;723;242;476;183;1489;218;15553;0;0;29;0;0;4;0;0;0;36;0;0;0;0;0;4;0;0;0;0;0;0;0
"H3_2017.04";0;0;295;22;9;0;0;10;0;0;0;344;53;17;97;0;0;0;95;34;0;11;399;248;494;663;426;270;14521;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;51;0;0;0;0
"H3_2018.02";21;18;114;40;10;0;0;384;0;6;0;24;26;98;182;56;34;109;104;219;13;13;1836;144;400;2034;1513;262;21183;45;0;0;0;0;13;22;58;0;0;0;0;13;82;0;0;0;0;0;0;0;13;0
"H3_2018.04";0;0;783;180;21;71;4;14;0;0;16;96;5;0;50;43;0;39;89;542;0;0;639;164;629;174;1207;208;15920;0;0;48;0;0;22;0;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0
"H4_2017.04";13;2;653;38;0;0;0;0;0;0;0;451;87;0;159;12;0;0;104;61;0;21;618;338;554;881;363;369;15191;0;0;42;0;18;3;0;0;11;33;0;0;0;0;0;0;0;0;0;0;0;0;0
"H4_2018.02";0;0;107;63;14;21;0;335;0;0;0;30;16;63;206;73;22;61;157;180;13;28;1597;105;333;2127;1335;195;21734;43;0;0;0;0;21;34;18;0;0;0;2;0;0;1;0;0;8;0;0;0;0;0
"H4_2018.04";0;0;2116;730;0;25;0;0;10;0;13;272;10;43;46;95;0;8;276;2518;0;12;1065;350;687;280;2494;375;14895;0;0;34;6;0;8;0;0;19;35;18;0;0;0;0;1;0;4;0;0;0;0;0
"P1_2018.02";9;21;872;122;10;0;0;1292;0;0;0;57;12;0;89;64;54;135;1639;1628;16;56;1058;233;376;1288;1981;207;11080;33;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;36;0;0;0
"P1_2018.04";7;3;90;27;19;1164;483;53;170;93;9;140;2;7;332;0;0;0;978;253;0;0;86;105;135;26;85;34;990;0;81;60;2;1913;0;0;0;54;32;0;0;0;0;0;3;1;1;40;0;0;0;0
"P2_2018.02";0;14;795;176;15;0;0;1139;0;0;0;67;35;97;232;91;52;255;1550;1123;11;65;989;254;734;1434;2126;506;10336;56;0;8;0;0;0;20;27;0;0;0;0;0;0;0;0;0;0;0;50;0;9;0
"P3_2018.02";15;5;550;104;7;0;0;1817;0;0;0;28;44;15;145;83;33;91;501;466;1;56;686;216;829;1084;1294;386;7683;0;0;0;0;0;4;0;0;0;0;10;2;0;0;4;0;0;0;0;55;0;0;26
"P4_2018.02";21;12;602;125;12;0;0;1532;0;0;0;29;24;0;144;82;56;227;820;971;0;52;1022;143;329;1545;1928;331;9837;0;0;0;0;0;0;0;0;0;0;0;0;15;3;5;0;0;0;0;0;12;0;12
