Muestra;R—tulo;Fecha;Sitio;Vanadio;Hierro;Niquel;Cobre;Zinc;Molib
C1A17;CC1;A17;Cha;0;0.73;0;11.66;0;5.27
C2A17;CC2;A17;Cha;0;0;0;24.34;0;6.39
C3A17;CC3;A17;Cha;0;1.69;0;24.17;1.64;8.4
C4A17;CC4;A17;Cha;0.15;2.07;0;13.13;1.37;5.81
F1A17;CF1;A17;Fla;0;1.86;0;0.89;0;4.34
F2A17;CF2;A17;Fla;0.15;0;0;0.61;0;5.3
F3A17;CF3;A17;Fla;0.21;1.11;1.69;1.5;0;8.57
F4A17;CF4;A17;Fla;0.11;0;0;0.83;0;5.38
Ho1A17;CHo1;A17;Hor;0;1.52;0.36;0.01;0;5.37
Ho2A17;CHo2;A17;Hor;0.19;2.03;1.6;0.52;0.32;7.52
Ho3A17;MHo3;A17;Hor;0.21;4.4;1.68;0.24;0.33;7.41
Ho4A17;MHo4;A17;Hor;0.11;1.92;0;0.18;0.35;4.47
H1A17;CH1;A17;Hua;0.19;4.86;1.03;0.98;1.1;7
H2A17;CH2;A17;Hua;0.2;0.92;1.61;0.68;0.69;7.78
H3A17;CH3;A17;Hua;0.43;3.36;2.03;1.85;2.47;8.73
H4A17;CH4;A17;Hua;0.31;4;2.01;2.15;2.1;7.5
L1A17;NL1;A17;Las Cru;0;3.05;0.22;0.29;2.24;5.59
L2A17;NL2;A17;Las Cru;0.19;0.57;0.54;0;0;6.24
L3A17;NL3;A17;Las Cru;0;1.34;2.05;0.19;1.68;7.5
L4A17;NL4;A17;Las Cru;0.21;1.76;0.9;0.75;0;7.17
Q1A17;NQ1;A17;Quint;0.14;0;0.96;0.22;0.2;7.09
Q2A17;NQ2;A17;Quint;0.67;1.36;1.48;0.29;3.69;8.48
Q3A17;NQ3;A17;Quint;0.51;1.38;1.82;0.34;0.69;8.7
Q4A17;NQ4;A17;Quint;0.23;1.63;2.2;1.11;0.55;8.82
C1F18;MC1;F18;Cha;5;28.7;14;15.2;28.8;17.8
C2F18;MC2;F18;Cha;5;20.4;16;14;20.9;30
C3F18;MC3;F18;Cha;5;27;15.6;18.9;24.9;21.6
C4F18;MC4;F18;Cha;5;23;14.5;19.9;26.8;18.6
F1F18;MF1;F18;Fla;5;34.8;13.5;5;20;17.7
F2F18;MF2;F18;Fla;6.6;37.7;13.3;5;20;99.9
F3F18;MF3;F18;Fla;5;21;13.4;5;20;17.6
F4F18;MF4;F18;Fla;5;40.6;16.5;5;21.8;62.6
H1F18;MH1;F18;Hua;5;35;13.1;5.7;20;17
H2F18;MH2;F18;Hua;5;33.9;13;5;23.2;17.1
H3F18;MH3;F18;Hua;5;46.6;13.3;5;20;25.1
H4F18;MH4;F18;Hua;5;62.9;14.3;5;24;21.6
P1F18;MP1;F18;Pchoros;5;28.3;13.9;5;20;18.1
P2F18;MP2;F18;Pchoros;5;41.1;13.9;5;20;17.5
P3F18;MP3;F18;Pchoros;5;37.7;14;5;20;16.9
P4F18;MP4;F18;Pchoros;5;44.4;14.6;5;40.6;17.3
Ho1F18;NHO1;Hor;;-;-;-;-;-;-
Ho2F18;NHO2;Hor;;-;-;-;-;-;-
L1F18;ML1;F18;Las Cru;5;55.6;11.2;5;20;16.2
L2F18;ML2;F18;Las Cru;5;27.9;10.5;5;20;15.2
L3F18;ML3;F18;Las Cru;5;45.7;13.2;5;20;16.1
L4F18;ML4;F18;Las Cru;5;30.9;13.4;5;22.6;16.5
Q1F18;MQ1;F18;Quint;5;37;13.7;5;20;17.8
Q2F18;MQ2;F18;Quint;5;43.6;14.4;5;20;28.4
Q3F18;MQ3;F18;Quint;5;38.9;13.3;5;20;20.8
Q4F18;MQ4;F18;Quint;5;58.2;13.3;5;20;17.8
C1A18;MC1;A18;Cha;5;24.4;27.1;5;20;22.9
C2A18;MC2;A18;Cha;5;36.1;26.1;5;20;21.7
C3A18;MC3;A18;Cha;5;20;29;5;20;22.6
C4A18;MC4;A18;Cha;5;29.2;29.5;21.6;20;21.7
F1A18;MF1;A18;Fla;5;31.2;27.8;5;21.8;21.9
F2A18;MF2;A18;Fla;5;27.1;26.5;5;20;21.7
F3A18;MF3;A18;Fla;5;30.4;25.9;5;20;21.9
F4A18;MF4;A18;Fla;5;38.9;28.4;5;20;22
H1A18;MH1;A18;Hua;5;29;27.9;5;20;22
H2A18;MH2;A18;Hua;5;56.7;28.8;5;43.2;22.3
H3A18;MH3;A18;Hua;5;53.3;29.1;5;20;21.5
H4A18;MH4;A18;Hua;5;23.5;28.8;5;20;21.2
P1A18;MP1;A18;Pchoros;5;25.2;26.8;5;20;20.5
P2A18;MP2;A18;Pchoros;5;26.6;26.4;5;20;21.9
P3A18;MP3;A18;Pchoros;5;23.2;27.8;5;20;22.4
L1A18;ML1;A18;Las Cru;5;39.6;26.5;5;20.4;20.5
L2A18;ML2;A18;Las Cru;5;26.1;28.8;5;20;31.8
L3A18;ML3;A18;Las Cru;5;20;27.9;5;20;47.9
L4A18;ML4;A18;Las Cru;5;20;28.3;5;20;34.8
Q1A18;MQ1;A18;Quint;5;48.6;32.7;5.3;20.4;29.7
Q2A18;MQ2;A18;Quint;5;117.3;26.1;5;20;29.8
Q3A18;MQ3;A18;Quint;5;29.1;27.8;5;20;28.8
Q4A18;MQ4;A18;Quint;5;26.2;27.3;5;20;28.1
