"";"C1_2017.08";"C1_2018.02";"C1_2018.08";"C2_2017.08";"C2_2018.02";"C2_2018.08";"C3_2017.08";"C3_2018.02";"C3_2018.08";"C4_2017.08";"C4_2018.02";"C4_2018.08";"F1_2017.08";"F1_2018.02";"F1_2018.08";"F2_2017.08";"F2_2018.02";"F2_2018.08";"F3_2017.08";"F3_2018.02";"F3_2018.08";"F4_2017.08";"F4_2018.02";"F4_2018.08";"H1_2017.08";"H1_2018.02";"H1_2018.08";"H2_2017.08";"H2_2018.02";"H2_2018.08";"H3_2017.08";"H3_2018.02";"H3_2018.08";"H4_2017.08";"H4_2018.02";"H4_2018.08";"P1_2018.02";"P1_2018.08";"P2_2018.02";"P3_2018.02";"P4_2018.02"
"ASV_633_Pelagomonadaceae_clade_D1_sp.";0;0;31;0;0;83;0;0;35;0;0;41;0;0;22;0;0;6;0;0;20;0;0;11;3;0;4;0;0;13;2;0;8;8;0;7;0;2;0;0;0
"ASV_1907_Rhodomonas_sp.";0;5;0;0;1;0;0;0;0;0;0;0;0;0;0;0;13;0;0;3;0;0;0;0;0;3;0;0;6;0;0;3;0;0;2;0;7;0;4;0;0
"ASV_946_Minidiscus_variabilis";0;0;0;0;1;4;5;0;0;0;0;0;0;5;26;0;4;9;0;0;42;0;0;0;25;0;5;14;0;0;0;0;7;0;0;0;0;1;0;0;0
"ASV_276_Katablepharidales_XX_sp.";0;92;0;0;0;0;0;0;0;0;0;0;0;43;0;0;57;0;0;118;16;0;94;0;0;59;16;0;44;0;0;39;0;0;13;8;33;0;77;28;58
"ASV_1249_Non_Assigned";0;0;0;0;10;0;0;3;10;0;0;0;10;16;0;0;0;0;0;13;0;0;0;0;0;37;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0
"ASV_501_Chloroparvula_pacifica";0;7;106;0;0;166;0;0;22;0;0;65;0;0;21;0;2;2;0;4;17;0;0;8;0;0;0;0;0;0;0;0;4;0;0;5;2;0;4;4;3
"ASV_443_Chlorodendrales_XX_sp.";0;0;0;0;0;47;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;5;316;0;0;0;0;0;0;0;0;0;0;0;0;54;0;0;0
"ASV_29_Chloroparvula_pacifica";0;164;334;0;60;551;0;68;176;0;31;145;0;46;796;21;88;291;0;30;982;0;86;236;40;53;78;0;29;84;34;34;117;0;44;607;349;63;207;91;170
"ASV_1403_Pelagomonas_calceolata";0;0;18;0;0;11;0;0;8;0;0;24;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;18;0;4
"ASV_736_Micromonas_pusilla";0;8;1;0;4;0;0;0;0;0;0;0;6;0;4;10;6;7;7;4;2;0;7;9;9;14;1;6;10;5;4;2;0;6;13;1;17;0;22;14;20
