"";"C1_2017.04";"C1_2018.02";"C1_2018.04";"C2_2017.04";"C2_2018.02";"C2_2018.04";"C3_2017.04";"C3_2018.02";"C3_2018.04";"C4_2017.04";"C4_2018.02";"C4_2018.04";"F1_2017.04";"F1_2018.02";"F1_2018.04";"F2_2017.04";"F2_2018.02";"F2_2018.04";"F3_2017.04";"F3_2018.02";"F3_2018.04";"F4_2017.04";"F4_2018.02";"F4_2018.04";"H1_2017.04";"H1_2018.02";"H1_2018.04";"H2_2017.04";"H2_2018.02";"H2_2018.04";"H3_2017.04";"H3_2018.02";"H3_2018.04";"H4_2017.04";"H4_2018.02";"H4_2018.04";"P1_2018.02";"P1_2018.04";"P2_2018.02";"P3_2018.02";"P4_2018.02";"Division";"Color"
"nChl";"0,00561465721040189";"0,00878088625689197";"0,0271447567517997";"0";"0,00910032554010062";"0,0481145935357493";"0,00785487189077988";"0,0120806464778385";"0,0518602029312289";"0,0669693530079455";"0,0213046343070503";"0,0328839545334391";"0,0161303802758044";"0,000432671506177588";"0,0596225507873542";"0,0166799046862589";"0,00188953488372093";"0,0147332284365613";"0,0159494432741499";"0,00622338683262365";"0,079171562867215";"0,00510440835266821";"0,00552613400874971";"0,0301946280240102";"0,0681076312307014";"0,0116646082063949";"0,0221286031042129";"0,0677544124838839";"0,025692984133053";"0,0167349118746662";"0,0661819261017955";"0,0322643786905034";"0,00625228185469149";"0,219828059264679";"0,0198754078908336";"0,0154565574355679";"0,0133926642761481";"0,0144557823129252";"0,0453575463408511";"0,34633994068987";"0,0251689028451803";"Chlorophyta";"#3FA03F"
"sChl";"0,0633372734436564";"0,682118303723368";"0,662799761566326";"0,173357664233577";"0,173498076353951";"0,704823702252693";"0,071441930054236";"0,0317116970043262";"0,265689590379557";"0,138479001135074";"0,0613222051394685";"0,338673010837959";"0,266861679899707";"0,0563915196384789";"0,771667267700445";"0,562464541018949";"0,177470930232558";"0,823916464025175";"0,718627746012639";"0,357571787313025";"0,828069917743831";"0,65800464037123";"0,376352751554225";"0,699690777905778";"0,759285399205999";"0,91213805406889";"0,835920177383592";"0,814520072911572";"0,880825845918562";"0,822191561331672";"0,803581144581293";"0,885394578018465";"0,853961299744432";"0,638448875068593";"0,904611226474175";"0,775326622403084";"0,816174882274161";"0,164115646258503";"0,751244821959078";"0,468159825191197";"0,780331144733086";"Chlorophyta";"#005F00"
"nOch";"0,415878644602049";"0,143761486624464";"0,0186620202668623";"0,585766423357664";"0,552826279964487";"0,0381978452497551";"0,415560127174116";"0,614766141539466";"0,292532345519944";"0,681044267877412";"0,60803865583132";"0,154480570975416";"0,0763058921855412";"0,849959136579972";"0,0293304483711985";"0,109043458527176";"0,676453488372093";"0,0335192867019501";"0,0475473969304845";"0,31313462168359";"0,0118977673325499";"0,0180974477958237";"0,304052498273083";"0,0475959497968835";"0,0173797970886634";"0,0158844517634143";"0,0211529933481153";"0,0142266482905793";"0,0150258076849551";"0,0216752714972405";"0,0117722708611565";"0,012527321958699";"0,0198064987221614";"0,0173404060728004";"0,0194469165101025";"0,0247733276219033";"0,00976368427874023";"0,436507936507937";"0,0143520649399556";"0,00737474637115655";"0,0162241887905605";"Ochrophyta";"#7A3F8C"
"sOch";"0,0251182033096927";"0,0621468926553672";"0,176532624145995";"0,0693430656934307";"0,177789286771234";"0,129468658178257";"0,495417991397045";"0,297934862460207";"0,236967842379342";"0,0601589103291714";"0,241686799912146";"0,325720327782183";"0,0313414124529879";"0,0701889332243642";"0,0432744320230797";"0,0381254964257347";"0,087281976744186";"0,0636532684880561";"0,0291904905206139";"0,0834152200021836";"0,0327555816686251";"0,031554524361949";"0,0831222657149436";"0,0662705390165525";"0,0152183502426114";"0,0133799917661589";"0,0556984478935698";"0,0126261503578891";"0,0166316191932709";"0,0671621862204023";"0,0191423059801157";"0,0235865983753629";"0,0496987951807229";"0,0280958478141577";"0,0190184251293714";"0,105447276361819";"0,102043461355683";"0,235827664399093";"0,0928072304280514";"0,0998517246761355";"0,11128556475402";"Ochrophyta";"#3B004D"
"nCryp";"0";"0,0106187461711252";"0,00751983126232289";"0";"0,0111719443622373";"0,00875367286973555";"0";"0,00350991755775039";"0,0128308369571053";"0";"0,00628157258950143";"0,00549828178694158";"0,240618470539072";"0,00249987981347051";"0,0109388147613896";"0,0344944967661409";"0,00683139534883721";"0,00605540456777762";"0,0210653024375564";"0,00840703133529861";"0,0038924794359577";"0,0649651972157773";"0,0140455906055722";"0,0194628024010186";"0,00410233789148655";"0,000171538355976396";"0,00505543237250554";"0,00351220379673676";"0,00527623781303766";"0,00525191383300694";"0,00618291536825444";"0,000782957622418687";"0,00670865279299014";"0,00610938357417231";"0,00181284814924684";"0,00467623331191547";"0,00427701213980213";"0";"0,0045608602870413";"0,00690650850632121";"0,00490056142354173";"Cryptophyta";"#3F3F99"
"sCryp";"0";"0,027363692056361";"0,0547938924297308";"0,0145985401459854";"0,0346256288842853";"0,0399118511263467";"0";"0,0046934944086197";"0,0528265421162828";"0";"0,0132659784757303";"0,0602167591858314";"0,252402841621396";"0,00624969953367627";"0,074107464839524";"0,128106206740043";"0,0193313953488372";"0,0455347351356506";"0,0767378874510984";"0,121628998798996";"0,0332696827262045";"0,120649651972158";"0,116739580934838";"0,11580670587522";"0,0179973533303926";"0,0227459860024702";"0,0343680709534368";"0,0162717289823501";"0,0375071688013764";"0,0416592487092754";"0,0500568828213879";"0,0281864744070727";"0,0456827309236948";"0,0461313334552771";"0,0227100431787468";"0,0504033697436996";"0,0373698535447358";"0,0155328798185941";"0,0653165404410226";"0,0568909005774934";"0,038776286992102";"Cryptophyta";"#000052"
"nHap";"0,0236406619385343";"0,00326730651419236";"0,00669448392865331";"0";"0,00451316957679787";"0,0123041136141038";"0,00168318683373854";"0,0110195086115419";"0,0319428786170613";"0";"0,0150230617175489";"0,0303462860163891";"0,0299206017551191";"0,00274025287245805";"0,00324558240173098";"0,0284806535799387";"0,00566860465116279";"0,00462499403995613";"0,0216671682214866";"0,0244568184299596";"0,00301116333725029";"0,0102088167053364";"0,0202624913654156";"0,0117019341538835";"0,0220996912218791";"0,00593522711678331";"0,012860310421286";"0,0135153158760503";"0,00680558210667176";"0,0123286451842621";"0,0186971360736014";"0,00489348514011679";"0,00757575757575758";"0,0205963051033474";"0,00408714855466561";"0,00949525237381309";"0,00181448999870394";"0,00759637188208617";"0,00112975438302858";"0,00417512096144842";"0,00375868303359026";"Haptophyta";"#D93F3F"
"sHap";"0,466410559495666";"0,02675107208495";"0,0187537255261589";"0,147810218978102";"0,0206422018348624";"0,00722331047992165";"0,00561062277912848";"0,0217125132642233";"0,0258227304450529";"0,0533484676503973";"0,0277179881396881";"0,0273856727464975";"0,0670288340994567";"0,00447093889716841";"0,00384661617982931";"0,0725065244525133";"0,00872093023255814";"0,00343298526677156";"0,0571772494733674";"0,0233649961786221";"0,00205640423031727";"0,0719257540603248";"0,0189960856550771";"0,00424422482265203";"0,0776797529775033";"0,00315630574996569";"0,00696230598669623";"0,0570844262659494";"0,00424393041483464";"0,00618657646430479";"0,0205272790226047";"0,00714448830457051";"0,0061153705732019";"0,0197914761295043";"0,00487820956524605";"0,0125294495609338";"0,00298094785501361";"0,00844671201814059";"0,00945646261349847";"0,00394100202903075";"0,00252164811114283";"Haptophyta";"#AC0000"
"nKata";"0";"0,005990061942686";"0,0248062726397359";"0,00912408759124088";"0,00739863865048831";"0,00991674828599412";"0,00243126987095568";"0,00183658476859032";"0,0259837869758952";"0";"0,00461234350977378";"0,0213587100185038";"0,0183033848725449";"0,000144223835392529";"0,000901550667147494";"0,00873709293089754";"0";"0,00123968912411195";"0,0120373156786037";"0,00327546675401245";"0";"0,00835266821345708";"0,00460511167395809";"0,000970108530891894";"0";"0,000583230410319747";"8,86917960088692e-05";"0";"0,000535270502771937";"4,45077443475165e-05";"0";"0,00055459498254657";"0,000228185469149325";"0,000256081946222791";"0,000791061010580441";"0";"0,00367218214023416";"0,00164399092970522";"0,00292899284488891";"0,00152177306071484";"0,00356836996859834";"Katablepharidophyta";"#50BFBC"
"sKata";"0";"0,0292015519705942";"0,00229263148241552";"0";"0,00843444806155667";"0,00128550440744368";"0";"0,000530568933148314";"0,00354324367853116";"0";"0,000746760377772897";"0,00343642611683849";"0";"0,00668237103985385";"0,00234403173458348";"0";"0,015625";"0,00328994421398942";"0";"0,058521672671689";"0,00227673325499412";"0";"0,0539949343771586";"0,0040623294731098";"0";"0,00994922464663099";"0,000709534368070953";"0";"0,00707321735805773";"0,00102367811999288";"0";"0,00466512250024467";"0,00177984665936473";"0";"0,00273575266159069";"0,000285571499964304";"0,00816520499416771";"0";"0,0128457257625842";"0,00483845793663181";"0,0134646493481778";"Katablepharidophyta";"#007572"
