"";"Chlorophyta";"Fungi";"Dinoflagellata";"Ochrophyta";"Metazoa";"Cryptophyta";"Haptophyta";"Ciliophora";"Sagenista";"Picozoa";"Katablepharidophyta";"Prasinodermophyta";"Opalozoa";"Pseudofungi";"Telonemia";"Cercozoa";"Centroheliozoa";"Streptophyta";"NA.";"Conosa";"Choanoflagellida";"Rhodophyta";"Stramenopiles_X";"Radiolaria";"Alveolata_X";"Mesomycetozoa";"Apicomplexa";"Perkinsea";"Chrompodellids";"Hilomonadea";"Apusomonadidae";"Lobosa";"Foraminifera"
"C1_2017.04";700;23542;1748;4477;143;0;4975;3817;197;4;0;0;241;942;88;180;0;0;0;543;12;0;77;0;0;0;0;0;22;0;12;0;0
"C1_2018.02";10150;3754;16256;3025;705;558;441;1189;2453;134;517;71;992;180;131;966;62;0;0;0;77;0;39;0;0;12;0;0;0;8;0;0;0
"C1_2018.04";15047;2820;11630;4257;765;1359;555;2902;428;126;591;102;231;115;726;33;27;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0
"C2_2017.04";95;39436;1220;359;47;8;81;282;35;0;5;0;29;54;32;13;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"C2_2018.02";2468;1092;20447;9875;906;619;340;1622;2303;146;214;72;629;210;57;568;33;0;0;0;77;0;23;0;0;19;0;0;0;0;0;0;0
"C2_2018.04";12300;5753;14626;2739;1767;795;319;1972;407;65;183;296;87;75;149;68;9;0;0;49;9;0;0;41;0;0;11;0;0;0;0;0;0
"C3_2017.04";424;32526;2610;4871;72;0;39;235;259;0;13;0;20;47;12;578;0;0;0;0;0;0;11;0;0;0;3;0;0;0;0;0;0
"C3_2018.02";1073;3110;5161;22363;1677;201;802;4441;1229;3;58;18;243;340;140;656;5;0;0;0;70;5;59;0;0;4;0;0;19;0;0;6;0
"C3_2018.04";5915;309;11606;9863;4923;1223;1076;3812;456;54;550;232;254;473;510;84;73;0;0;23;100;0;0;0;0;0;38;0;0;0;15;7;0
"C4_2017.04";181;38695;1416;653;107;0;47;278;83;0;0;0;44;22;8;174;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0
"C4_2018.02";1881;2759;6797;19344;1628;445;973;4090;1462;14;122;16;402;392;87;941;4;13;0;0;78;0;101;0;0;0;6;0;0;4;0;0;0
"C4_2018.04";7028;2758;11028;9083;2969;1243;1092;3661;770;80;469;73;367;262;336;187;55;0;0;0;38;0;0;0;0;9;23;0;0;6;28;13;0
"F1_2017.04";3386;6064;7479;1288;1151;5899;1160;9658;986;2099;219;0;1294;522;151;122;115;0;0;0;98;13;6;0;0;0;0;0;0;0;0;0;0
"F1_2018.02";1182;4865;12018;19140;1107;182;150;346;1783;105;142;64;325;57;16;189;0;0;0;0;17;5;0;0;0;27;0;0;0;0;0;0;0
"F1_2018.04";13831;3387;18840;1208;961;1415;118;487;603;150;54;290;82;57;47;34;22;0;0;0;39;12;0;4;0;0;44;0;0;0;0;0;0
"F2_2017.04";5104;15798;9111;1297;1354;1433;890;447;1259;2360;77;13;1528;152;110;220;260;0;0;74;146;12;35;23;0;14;3;0;0;0;0;0;0
