"";"Chlorophyta";"Fungi";"Dinoflagellata";"Ochrophyta";"Metazoa";"Cryptophyta";"Haptophyta";"Ciliophora";"Sagenista";"Picozoa";"Katablepharidophyta";"Prasinodermophyta";"Opalozoa";"Pseudofungi";"Telonemia";"Cercozoa";"Centroheliozoa";"Streptophyta";"NA.";"Conosa";"Choanoflagellida";"Rhodophyta";"Stramenopiles_X";"Radiolaria";"Alveolata_X";"Mesomycetozoa";"Apicomplexa";"Perkinsea";"Chrompodellids";"Hilomonadea";"Apusomonadidae";"Lobosa";"Foraminifera"
"C1_2017.04";0,0167785234899329;0,564285714285714;0,0418983700862895;0,107310642377756;0,00342761265580058;0;0,11924736337488;0,0914908916586769;0,00472195589645254;9,58772770853308e-05;0;0;0,00577660594439118;0,0225790987535954;0,00210930009587728;0,00431447746883989;0;0;0;0,0130153403643337;0,000287631831255992;0;0,00184563758389262;0;0;0;0;0;0,000527325023969319;0;0,000287631831255992;0;0
"C1_2018.02";0,243288590604027;0,0899808245445829;0,389645254074784;0,0725071907957814;0,0168983700862895;0,0133748801534036;0,0105704697986577;0,0284995206136146;0,0587967401725791;0,00321188878235858;0,012392138063279;0,00170182166826462;0,023777564717162;0,00431447746883989;0,00313998082454458;0,0231543624161074;0,00148609779482263;0;0;0;0,00184563758389262;0;0,000934803451581975;0;0;0,000287631831255992;0;0;0;0,000191754554170662;0;0;0
"C1_2018.04";0,360666347075743;0,0675934803451582;0,278763183125599;0,102037392138063;0,0183365292425695;0,0325743048897411;0,0133029721955896;0,0695589645254075;0,0102588686481304;0,00302013422818792;0,0141658676893576;0,00244487056567593;0,00553691275167785;0,00275647171620326;0,0174017257909875;0,000790987535953979;0,000647171620325983;0;0;0;0,000143815915627996;0;0;0;0;0;0;0;0;0;0;0;0
"C2_2017.04";0,00227730367245182;0,945344711861156;0,0292453734778023;0,00860581072010739;0,00112666602742353;0,000191772940838048;0,00194170102598523;0,00675999616454118;0,000839006616166459;0;0,00011985808802378;0;0,000695176910537923;0,00129446735065682;0,000767091763352191;0,000311631028861828;0;0,000479432352095119;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"C2_2018.02";0,0591562799616491;0,0261744966442953;0,49010067114094;0,23669702780441;0,0217162032598274;0,0148370086289549;0,00814956855225312;0,0388782358581016;0,0552013422818792;0,00349952061361457;0,0051294343240652;0,00172579098753595;0,0150767018216683;0,00503355704697987;0,00136625119846596;0,013614573346117;0,000790987535953979;0;0;0;0,00184563758389262;0;0,000551294343240652;0;0;0,000455417066155321;0;0;0;0;0;0;0
"C2_2018.04";0,294822627037392;0,137895493767977;0,350575263662512;0,0656519654841802;0,0423537871524449;0,0190556088207095;0,00764621284755513;0,0472674976030681;0,00975551294343241;0,00155800575263663;0,00438638542665388;0,00709491850431448;0,00208533077660594;0,00179769894534995;0,00357142857142857;0,00162991371045062;0,000215723873441994;0;0;0,0011744966442953;0,000215723873441994;0;0;0,00098274209012464;0;0;0,00026366251198466;0;0;0;0;0;0
"C3_2017.04";0,0101629913710451;0,779626078619367;0,0625599232981783;0,116754554170662;0,00172579098753595;0;0,000934803451581975;0,00563279002876318;0,00620805369127517;0;0,000311601150527325;0;0,000479386385426654;0,00112655800575264;0,000287631831255992;0,0138542665388303;0;0;0;0;0;0;0,00026366251198466;0;0;0;7,19079578139981e-05;0;0;0;0;0;0
"C3_2018.02";0,0257419091716047;0,0746107525849867;0,12381546433798;0,536501691336996;0,0402322289662452;0,00482210973298467;0,0192404577405657;0,106542235443706;0,0294844420986973;7,19717870594727e-05;0,00139145454981647;0,000431830722356836;0,00582971475181729;0,0081568025334069;0,00335868339610873;0,015737830770338;0,000119952978432454;0;0;0;0,00167934169805436;0,000119952978432454;0,00141544514550296;0;0;9,59623827459636e-05;0;0;0,000455821318043327;0;0;0,000143943574118945;0
"C3_2018.04";0,14220117318973;0,00742859890374074;0,279017213193576;0,237114145590922;0,118352726223675;0,0294018655639965;0,0258678719107607;0,0916434272526204;0,0109625925569766;0,00129820175016829;0,0132224252331955;0,00557745937109337;0,00610635638042119;0,0113712857005481;0,0122607943071449;0,00201942494470622;0,00175497644004231;0;0;0,000552937782479085;0,00240407731512645;0;0;0;0;0;0,000913549379748053;0;0;0;0,000360611597268968;0,000168285412058852;0
"C4_2017.04";0,00433844678811122;0,927492809204219;0,0339405560882071;0,0156519654841802;0,0025647171620326;0;0,00112655800575264;0,00666347075743049;0,00198945349952061;0;0;0;0,00105465004793864;0,000527325023969319;0,000191754554170662;0,00417066155321189;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,000287631831255992;0
