"";"Chlorophyta";"Ochrophyta";"Cryptophyta";"Haptophyta";"Katablepharidophyta";"Rhodophyta"
"C1_2017.04";0,0689519306540583;0,440996847911742;0;0,4900512214342;0;0
"C1_2018.02";0,69089918998026;0,205908379279831;0,0379824382274862;0,0300183785991423;0,0351916139132802;0
"C1_2018.04";0,689944518318126;0,195194644412857;0,0623137236920537;0,0254482094548122;0,0270989041221514;0
"C2_2017.04";0,173357664233577;0,655109489051095;0,0145985401459854;0,147810218978102;0,00912408759124088;0
"C2_2018.02";0,182598401894051;0,730615566735721;0,0457975732465226;0,0251553714116603;0,015833086712045;0
"C2_2018.04";0,752938295788443;0,167666503428012;0,0486655239960823;0,0195274240940255;0,0112022526934378;0
"C3_2017.04";0,0792968019450159;0,910978118571161;0;0,00729380961286703;0,00243126987095568;0
"C3_2018.02";0,0437923434821647;0,912701003999673;0,00820341196637009;0,0327320218757652;0,00236715370173863;0,000204064974287813
"C3_2018.04";0,317549793310785;0,529500187899286;0,0656573790733881;0,0577656090621141;0,0295270306544264;0
"C4_2017.04";0,205448354143019;0,741203178206583;0;0,0533484676503973;0;0
"C4_2018.02";0,0826268394465188;0,849725455743466;0,0195475510652317;0,042741049857237;0,00535910388754667;0
"C4_2018.04";0,371556965371398;0,4802008987576;0,0657150409727729;0,0577319587628866;0,0247951361353423;0
"F1_2017.04";0,282992060175512;0,107647304638529;0,493021312160468;0,0969494358545758;0,0183033848725449;0,00108650229837025
"F1_2018.02";0,0568241911446565;0,920148069804336;0,00874957934714677;0,00721119176962646;0,00682659487524638;0,000240373058987549
"F1_2018.04";0,831289818487799;0,0726048803942782;0,0850462796009136;0,00709219858156028;0,00324558240173098;0,000721240533717995
"F2_2017.04";0,579144445705208;0,14716895495291;0,162600703506184;0,100987178032452;0,00873709293089754;0,00136162487234767
"F2_2018.02";0,179360465116279;0,763735465116279;0,0261627906976744;0,0143895348837209;0,015625;0,000726744186046512
"F2_2018.04";0,838649692461736;0,0971725551900062;0,0515901397034282;0,0080579793067277;0,00452963333810137;0
"F3_2017.04";0,734577189286789;0,0767378874510984;0,0978031898886548;0,078844417694854;0,0120373156786037;0
"F3_2018.02";0,363795174145649;0,396549841685774;0,130036030134294;0,0478218146085817;0,0617971394257015;0
"F3_2018.04";0,907241480611046;0,0446533490011751;0,0371621621621622;0,00506756756756757;0,00227673325499412;0,00359870740305523
"F4_2017.04";0,663109048723898;0,0496519721577726;0,185614849187935;0,0821345707656612;0,00835266821345708;0,0111368909512761
"F4_2018.02";0,381878885562975;0,387174763988027;0,13078517154041;0,0392585770204927;0,0586000460511167;0,00230255583697905
"F4_2018.04";0,729885405929788;0,113866488813436;0,135269508276238;0,0159461589765355;0,0050324380040017;0
"H1_2017.04";0,827393030436701;0,0325981473312748;0,0220996912218791;0,0997794441993824;0;0,0181296868107631
"H1_2018.02";0,923802662275285;0,0292644435295732;0,0229175243584465;0,00909153286674901;0,0105324550569507;0,00439138191299575
"H1_2018.04";0,858048780487805;0,0768514412416852;0,0394235033259423;0,0198226164079823;0,000798226164079823;0,00505543237250554
"H2_2017.04";0,882274485395456;0,0268527986484684;0,0197839327790868;0,0705997421419997;0;0,000489041034988663
"H2_2018.02";0,906518830051615;0,031657426878226;0,0427834066144141;0,0110495125215064;0,00760848786082967;0,000382336073408526
"H2_2018.04";0,838926473206338;0,0888374577176429;0,0469111625422824;0,0185152216485669;0,0010681858643404;0,00574149902082962
"H3_2017.04";0,869763070683088;0,0309145768412722;0,0562397981896424;0,0392244150962062;0;0,00385813918979077
"H3_2018.02";0,917658956708968;0,0361139203340619;0,0289694320294914;0,0120379734446873;0,00521971748279124;0
"H3_2018.04";0,860213581599124;0,0695052939028843;0,0523913837166849;0,0136911281489595;0,00200803212851406;0,00219058050383352
"H4_2017.04";0,858276934333272;0,0454362538869581;0,0522407170294494;0,0403877812328517;0,000256081946222791;0,00340223157124566
"H4_2018.02";0,924486634365009;0,0384653416394739;0,0245228913279937;0,00896535811991167;0,00352681367217113;3,29608754408517e-05
"H4_2018.04";0,790783179838652;0,130220603983722;0,0550796030556151;0,0220247019347469;0,000285571499964304;0,00160633968729921
"P1_2018.02";0,829567546550309;0,111807145634423;0,041646865684538;0,00479543785371754;0,0118373871344019;0,000345617142610273
"P1_2018.04";0,178571428571429;0,672335600907029;0,0155328798185941;0,0160430839002268;0,00164399092970522;0,115873015873016
"P2_2018.02";0,796602368299929;0,107159295368007;0,0698774007280639;0,0105862169965271;0,0157747186074731;0
"P3_2018.02";0,814499765881068;0,107226471047292;0,0637974090838146;0,00811612299047916;0,00636023099734665;0
"P4_2018.02";0,805500047578266;0,127509753544581;0,0436768484156437;0,00628033114473309;0,0170330193167761;0
