"";"ASV_633_Pelagomonadaceae_clade_D1_sp.";"ASV_1907_Rhodomonas_sp.";"ASV_946_Minidiscus_variabilis";"ASV_276_Katablepharidales_XX_sp.";"ASV_1249_Non_Assigned";"ASV_501_Chloroparvula_pacifica";"ASV_443_Chlorodendrales_XX_sp.";"ASV_29_Chloroparvula_pacifica";"ASV_1403_Pelagomonas_calceolata";"ASV_736_Micromonas_pusilla";"ASV_539_Leucocryptos_marina";"ASV_109_Non_Assigned";"ASV_66_Teleaulax_gracilis";"ASV_606_Chrysochromulina_sp.";"ASV_10_Bathycoccus_prasinos";"ASV_62_Pelagomonas_calceolata";"ASV_1997_Crustomastigaceae_X_sp.";"ASV_885_Micromonas_pusilla";"ASV_1631_Florenciellales_X_sp.";"ASV_593_Non_Assigned";"ASV_38_Phaeocystis_globosa";"ASV_910_Triparma_pacifica";"ASV_106_Pelagomonadales_clade_B1_sp.";"ASV_455_Haptolina_sp.";"ASV_235_Crustomastigaceae_X_sp.";"ASV_722_Chloroparvula_pacifica";"ASV_1431_Brockmanniella_brockmannii";"ASV_157_Pelagomonadales_clade_B1_sp.";"ASV_37_Micromonas_commoda_A2";"ASV_834_Chrysochromulina_sp.";"ASV_2113_Rhizosolenia_imbricata";"ASV_1166_Non_Assigned";"ASV_86_Chloroparvula_pacifica";"ASV_1436_Micromonas_bravo_B2";"ASV_218_Guinardia_delicatula";"ASV_2202_Non_Assigned";"ASV_78_Chloroparvula_pacifica";"ASV_1317_Chrysochromulina_sp.";"ASV_642_Florenciella_parvula";"ASV_537_Hemiselmis_sp._nucl";"ASV_1295_Florenciellales_X_sp.";"ASV_60_Pycnococcaceae_X_sp.";"ASV_58_Phaeocystis_globosa";"ASV_23_Micromonas_bravo_B1";"ASV_1173_Micromonas_bravo_B2";"ASV_471_Chrysophyceae_Clade-H_X_sp.";"ASV_300_Chloroparvula_pacifica";"ASV_193_Aureococcus_anophagefferens";"ASV_50_Plagioselmis_prolonga";"ASV_1364_Chrysophyceae_Clade-H_X_sp.";"ASV_2062_Florenciellales_X_sp.";"ASV_118_Teleaulax_sp.";"ASV_1363_Micromonas_pusilla";"ASV_192_Chloroparvula_pacifica";"ASV_725_Chrysophyceae_Clade-H_X_sp.";"ASV_167_Katablepharidales_XX_sp.";"ASV_94_Pycnococcaceae_X_sp.";"ASV_71_Chaetoceros_debilis";"ASV_2520_Rhizosolenia_delicatula";"ASV_40_Pelagomonas_calceolata";"ASV_33_Micromonas_commoda_A2";"ASV_152_Aureococcus_anophagefferens";"ASV_59_Picochlorum_sp.";"ASV_1560_Rhodomonas_sp.";"ASV_323_Chrysochromulina_sp.";"ASV_89_Teleaulax_gracilis";"ASV_2990_Chrysophyceae_Clade-H_X_sp.";"ASV_13_Bathycoccus_prasinos";"ASV_1004_Pelagomonadaceae_clade_C_sp.";"ASV_205_Aureococcus_anophagefferens";"ASV_1092_Pelagomonas_calceolata";"ASV_597_Chloropicon_sieburthii";"ASV_404_Chloroparvula_pacifica";"ASV_52_Ostreococcus_lucimarinus";"ASV_115_Minutocellus_polymorphus";"ASV_446_Cylindrotheca_closterium";"ASV_2_Ostreococcus_lucimarinus";"ASV_1347_Pelagomonadaceae_clade_C_sp.";"ASV_31_Plagioselmis_prolonga";"ASV_49_Phaeocystis_globosa";"ASV_82_Pelagomonadales_clade_B1_sp.";"ASV_44_Plagioselmis_prolonga";"ASV_1862_Crustomastigaceae_X_sp.";"ASV_985_Non_Assigned";"ASV_668_Pelagomonadaceae_clade_C_sp.";"ASV_255_Katablepharidales_XX_sp.";"ASV_30_Picochlorum_sp.";"ASV_2680_Brockmanniella brockmannii";"ASV_1312_Brockmanniella brockmannii";"ASV_144_Chaetoceros_tenuissimus";"ASV_1171_Non_Assigned";"ASV_690_Chloroparvula_pacifica";"ASV_510_Chloroparvula_pacifica";"ASV_14_Bathycoccus_prasinos";"ASV_412_Paraphysomonas_imperforata";"ASV_63_Ostreococcus_lucimarinus";"ASV_1241_Chrysochromulina_sp.";"ASV_4_Ostreococcus_lucimarinus";"ASV_2601_Chloroparvula_B3_sp.";"ASV_3447_Chrysophyceae_Clade-H_X_sp.";"ASV_1388_Chloropicon_roscoffensis";"ASV_181_Chloropicon_laureae";"ASV_535_Chrysophyceae_Clade-H_X_sp.";"ASV_314_Chrysophyceae_Clade-H_X_sp.";"ASV_1054_Hemiselmis_sp._nucl";"ASV_1_Ostreococcus_lucimarinus";"ASV_1164_Pelagomonadaceae_clade_C_sp.";"ASV_35_Ostreococcus_lucimarinus";"ASV_77_Minutocellus_polymorphus";"ASV_1091_Pelagomonas_calceolata";"ASV_452_Chloroparvula_pacifica";"ASV_99_Teleaulax_gracilis";"ASV_126_Detonula_pumila";"ASV_51_Picochlorum_sp.";"ASV_577_Chlorodendrales_XX_sp.";"ASV_465_Parmales_env_3B_sp.";"ASV_298_Aureococcus_anophagefferens";"ASV_83_Teleaulax_sp.";"ASV_140_Pycnococcaceae_X_sp.";"ASV_18_Rhizosolenia_delicatula";"ASV_15_Micromonas_bravo_B1";"ASV_21_Micromonas_commoda_A2";"ASV_1480_Triparma_laevis_clade";"ASV_2201_Rhodomonas_sp.";"ASV_26_Micromonas_bravo_B1";"ASV_359_Ostreococcus_lucimarinus";"ASV_116_Pelagomonadales_clade_B1_sp.";"ASV_576_Parmales_env_3A_sp.";"ASV_84_Pycnococcaceae_X_sp.";"ASV_2098_Crustomastigaceae_X_sp.";"ASV_382_Chloroparvula_pacifica";"ASV_56_Chloroparvula_pacifica";"ASV_835_Pelagomonas_calceolata";"ASV_112_Teleaulax_sp.";"ASV_3445_Guinardia_solstherfothii";"ASV_353_Chrysochromulina_sp.";"ASV_274_Guinardia_delicatula";"ASV_1152_Minidiscus_variabilis";"ASV_502_Pelagomonadaceae_clade_D1_sp.";"ASV_499_Chloroparvula_pacifica";"ASV_872_Chrysochromulina_sp.";"ASV_1231_Florenciella_parvula";"ASV_252_Chloroparvula_pacifica";"ASV_1218_Chrysophyceae_Clade-H_X_sp.";"ASV_65_Chloroparvula_pacifica";"ASV_53_Pelagomonas_calceolata";"ASV_413_Leucocryptos_marina";"ASV_906_Micromonas_pusilla";"ASV_783_Leucocryptos_marina";"ASV_1254_Prymnesiophyceae_Clade_D_XX_sp.";"ASV_28_Rhizosolenia_delicatula";"ASV_131_Thalassiosira_tenera";"ASV_1405_Chrysochromulina_sp.";"ASV_1153_Micromonas_bravo_B2";"ASV_1694_Chrysochromulina_sp.";"ASV_48_Chloroparvula_pacifica";"ASV_806_Hemiselmis_sp._nucl";"ASV_969_Thalassiosira_rotula"
"C1_2017.08";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1883;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;30;0;0;0;1406;188;0;0;0;0;0;0;0;0;0;0;13;0;0;0;0;0;0;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1446;0;0;0;0;0;0;0;0;0;45;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;64;234;0;0;0;181;0;0;0;20;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;42;0;0;0;0;0;0;53
"C1_2018.02";0;5;0;92;0;7;0;164;0;8;18;26;66;28;150;24;0;2;0;0;90;0;5;13;0;4;0;2;44;0;8;0;41;0;14;0;54;6;0;0;0;650;73;234;0;17;43;3;41;0;0;29;4;48;18;171;453;90;0;26;30;6;0;10;81;51;0;135;21;3;0;0;9;85;0;44;1835;10;44;73;6;0;0;0;23;107;0;5;5;37;0;5;8;114;0;57;0;1640;0;0;0;42;39;29;0;2284;16;93;109;0;7;35;0;0;0;23;3;68;300;157;340;47;0;3;221;0;3;0;517;0;5;124;0;50;1;29;13;0;0;1;0;0;40;0;60;24;19;1;22;0;103;0;0;0;0;115;0;0
"C1_2018.08";31;0;0;0;0;106;0;334;18;1;0;0;109;0;592;549;2;0;28;24;76;11;275;68;0;11;0;183;73;58;0;0;334;0;0;4;392;0;40;0;0;0;53;37;0;0;33;106;164;20;0;91;2;57;0;28;0;0;0;775;84;171;0;0;61;85;0;499;3;119;26;37;32;133;0;0;2814;2;251;53;377;182;0;0;8;0;88;0;0;0;0;74;18;419;0;94;15;2632;2;5;0;38;0;28;0;3755;0;156;0;29;39;121;0;0;0;0;71;105;33;0;49;100;10;0;19;61;268;0;0;0;136;269;40;87;0;0;0;0;33;92;0;0;32;0;465;573;22;3;0;25;0;27;0;0;0;304;0;0
"C2_2017.08";0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;19;0;0;0;0;0;53;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;28;0;0;0;0;0;0;28;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26;0;0;0;0;23;0;0;0;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6
"C2_2018.02";0;1;1;0;10;0;0;60;0;4;17;0;88;0;42;18;2;1;0;0;85;0;1;0;0;0;0;1;5;0;2;14;7;0;41;0;16;0;0;83;0;258;68;38;0;0;13;0;0;0;0;47;0;14;0;72;191;1075;2;16;2;0;0;0;19;69;0;32;38;0;0;0;0;0;0;0;313;31;56;58;0;0;4;31;60;0;0;0;5;80;21;0;0;36;0;0;0;303;0;0;0;0;0;32;20;404;33;0;57;0;0;50;0;0;0;0;0;30;121;449;52;6;0;0;89;0;2;0;238;1;0;35;0;24;1;49;34;3;0;0;0;0;11;13;12;22;25;5;0;0;304;0;0;0;0;30;0;6
"C2_2018.08";83;0;4;0;0;166;47;551;11;0;0;0;70;0;325;249;0;0;0;105;31;0;143;0;16;20;0;83;48;0;0;0;724;0;11;0;725;0;11;0;2;71;22;19;0;0;48;57;85;0;0;52;0;92;0;12;0;0;0;354;37;81;0;0;0;59;0;256;3;62;10;25;36;55;0;0;1538;3;121;51;172;93;0;0;7;9;79;0;0;0;0;104;45;218;0;60;0;1502;2;0;7;39;0;0;0;2178;5;80;0;6;53;61;0;0;0;0;26;61;0;12;33;71;0;0;16;0;140;7;0;0;220;426;25;50;0;0;0;1;104;170;0;0;64;0;956;283;0;0;0;0;0;55;0;0;14;392;0;0
"C3_2017.08";0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30;0;0;0;0;0;0;0;0;0;0;0;0;0;239;0;30;0;0;0;0;82;0;0;0;0;0;0;0;0;0;0;0;0;0;0;45;0;0;0;0;0;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;0;0;0;0;0;0;0;0;0;0;0;42;0;0;0;0;44;1274;0;0;0;0;24;0;0;0;48;0;0;0;0;0;0;0;204;3;0;0;0;0;0;0;0;0;0;0;0;0;920;0;0;0;0;0;0;4
"C3_2018.02";0;0;0;0;3;0;0;68;0;0;13;0;99;0;0;0;0;0;0;0;185;0;0;18;0;0;0;0;2;0;1;8;0;0;90;0;0;0;17;0;0;130;132;66;0;0;0;0;0;0;0;0;0;0;0;0;107;242;0;5;2;0;0;10;7;0;0;0;0;0;0;0;0;0;0;67;26;0;0;119;9;0;0;6;14;0;0;0;0;634;5;0;0;0;12;0;0;0;0;0;0;0;0;14;0;32;0;0;58;0;0;0;0;0;0;0;0;6;82;3554;89;4;0;0;66;0;0;0;97;0;6;0;0;0;0;71;63;0;0;0;0;0;0;0;0;0;0;0;0;0;2497;0;0;0;0;0;0;1
"C3_2018.08";35;0;0;0;10;22;0;176;8;0;0;0;142;0;456;382;0;0;0;38;132;0;363;82;74;5;10;248;116;1;0;36;131;5;0;0;173;0;0;0;0;32;112;61;12;21;20;188;64;0;5;124;0;22;17;66;0;0;0;578;115;179;47;0;40;108;0;404;2;152;17;23;16;20;36;0;566;1;107;108;487;77;0;8;2;0;0;0;0;104;10;18;12;388;26;16;3;508;0;0;0;21;39;0;0;658;1;18;0;23;18;75;1;0;0;14;77;162;0;0;72;167;0;0;63;0;381;0;0;0;27;121;20;125;0;0;38;0;49;31;2;50;28;4;151;451;0;0;0;0;57;236;1;11;0;125;0;10
"C4_2017.08";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;47;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;53;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;42;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
