"";"Chlorophyta";"Ochrophyta";"Cryptophyta";"Haptophyta";"Katablepharidophyta";"Rhodophyta"
"C1_2017.04";0;0;0;0;0;0
"C1_2018.02";0;0;0;0;0;0
"C1_2018.04";0;0;0;0;0;0
"C2_2017.04";0;0;0;0;0;0
"C2_2018.02";0;0;0;0;0;0
"C2_2018.04";0;0;0;0;0;0
"C3_2017.04";0;0;0;0;0;0
"C3_2018.02";0;0;0;0;0;0
"C3_2018.04";0;0;0;0;0;0
"C4_2017.04";0;0;0;0;0;0
"C4_2018.02";0;0;0;0;0;0
"C4_2018.04";0;0;0;0;0;0
"F1_2017.04";85;158;0;153;0;13
"F1_2018.02";0;144;0;9;0;5
"F1_2018.04";31;50;0;0;0;12
"F2_2017.04";16;293;0;133;0;12
"F2_2018.02";0;130;0;55;0;10
"F2_2018.04";13;48;0;0;0;0
"F3_2017.04";11;33;0;53;0;0
"F3_2018.02";42;145;0;59;29;0
"F3_2018.04";32;34;0;0;0;49
"F4_2017.04";11;15;0;0;0;24
"F4_2018.02";6;157;16;46;36;20
"F4_2018.04";4;88;0;28;0;0
"H1_2017.04";0;0;0;0;0;0
"H1_2018.02";0;0;0;0;0;0
"H1_2018.04";0;0;0;0;0;0
"H2_2017.04";0;0;0;0;0;0
"H2_2018.02";0;0;0;0;0;0
"H2_2018.04";0;0;0;0;0;0
"H3_2017.04";0;0;0;0;0;0
"H3_2018.02";0;0;0;0;0;0
"H3_2018.04";0;0;0;0;0;0
"H4_2017.04";0;0;0;0;0;0
"H4_2018.02";0;0;0;0;0;0
"H4_2018.04";0;0;0;0;0;0
"P1_2018.02";0;0;0;0;0;0
"P1_2018.04";0;0;0;0;0;0
"P2_2018.02";0;0;0;0;0;0
"P3_2018.02";0;0;0;0;0;0
"P4_2018.02";0;0;0;0;0;0
