"";"Chlorophyta";"Ochrophyta";"Cryptophyta";"Haptophyta";"Katablepharidophyta";"Rhodophyta"
"C1_2017.04";0;0;0;0;0;0
"C1_2018.02";0;0;0;0;0;0
"C1_2018.04";0;0;0;0;0;0
"C2_2017.04";0;0;0;0;0;0
"C2_2018.02";0;0;0;0;0;0
"C2_2018.04";0;0;0;0;0;0
"C3_2017.04";0;0;0;0;0;0
"C3_2018.02";0;0;0;0;0;0
"C3_2018.04";0;0;0;0;0;0
"C4_2017.04";0;0;0;0;0;0
"C4_2018.02";0;0;0;0;0;0
"C4_2018.04";0;0;0;0;0;0
"F1_2017.04";0;0;0;0;0;0
"F1_2018.02";0;0;0;0;0;0
"F1_2018.04";0;0;0;0;0;0
"F2_2017.04";0;0;0;0;0;0
"F2_2018.02";0;0;0;0;0;0
"F2_2018.04";0;0;0;0;0;0
"F3_2017.04";0;0;0;0;0;0
"F3_2018.02";0;0;0;0;0;0
"F3_2018.04";0;0;0;0;0;0
"F4_2017.04";0;0;0;0;0;0
"F4_2018.02";0;0;0;0;0;0
"F4_2018.04";0;0;0;0;0;0
"H1_2017.04";0;0;0;0;0;0
"H1_2018.02";0;0;0;0;0;0
"H1_2018.04";0;0;0;0;0;0
"H2_2017.04";0;0;0;0;0;0
"H2_2018.02";0;0;0;0;0;0
"H2_2018.04";0;0;0;0;0;0
"H3_2017.04";0;0;0;0;0;0
"H3_2018.02";0;0;0;0;0;0
"H3_2018.04";0;0;0;0;0;0
"H4_2017.04";0;0;0;0;0;0
"H4_2018.02";0;0;0;0;0;0
"H4_2018.04";0;0;0;0;0;0
"P1_2018.02";0;68;0;0;0;0
"P1_2018.04";13;2605;0;35;29;1256
"P2_2018.02";0;138;16;10;0;0
"P3_2018.02";48;105;80;27;0;0
"P4_2018.02";0;146;47;9;0;0
