"";"Chlorophyta";"Ochrophyta";"Cryptophyta";"Haptophyta";"Katablepharidophyta"
"C1_2017.04";643;255;0;4735;0
"C1_2018.02";10021;913;402;393;429
"C1_2018.04";14455;3850;1195;409;50
"C2_2017.04";95;38;8;81;0
"C2_2018.02";2345;2403;468;279;114
"C2_2018.04";11514;2115;652;118;21
"C3_2017.04";382;2649;0;30;0
"C3_2018.02";777;7300;115;532;13
"C3_2018.04";4949;4414;984;481;66
"C4_2017.04";122;53;0;47;0
"C4_2018.02";1396;5502;302;631;17
"C4_2018.04";6406;6161;1139;518;65
"F1_2017.04";3193;375;3020;802;0
"F1_2018.02";1173;1460;130;93;139
"F1_2018.04";12839;720;1233;64;39
"F2_2017.04";4957;336;1129;639;0
"F2_2018.02";2442;1201;266;120;215
"F2_2018.04";17280;1335;955;72;69
"F3_2017.04";2388;97;255;190;0
"F3_2018.02";3275;764;1114;214;536
"F3_2018.04";11275;446;453;28;31
"F4_2017.04";1418;68;260;155;0
"F4_2018.02";3269;722;1014;165;469
"F4_2018.04";11540;1093;1910;70;67
"H1_2017.04";17213;345;408;1761;0
"H1_2018.02";26587;390;663;92;290
"H1_2018.04";18850;1256;775;157;16
"H2_2017.04";18321;284;366;1284;0
"H2_2018.02";23038;435;981;111;185
"H2_2018.04";18473;1509;936;139;23
"H3_2017.04";16246;387;1012;415;0
"H3_2018.02";27140;723;864;219;143
"H3_2018.04";18712;1089;1001;134;39
"H4_2017.04";17452;768;1261;541;0
"H4_2018.02";27445;577;689;148;83
"H4_2018.04";21720;2954;1412;351;8
"P1_2018.02";18892;2362;865;69;189
"P1_2018.04";2895;4160;274;149;0
"P2_2018.02";17954;2218;1561;226;307
"P3_2018.02";11998;2559;1458;101;124
"P4_2018.02";16401;2339;815;53;283
